trial,step,before_latency_ms,after_latency_ms,delta_after_minus_before_ms
21,enter_extended_session,2.861012,2.692347,-0.168665
21,read_target_after,2.855426,2.899632,0.044206
21,read_target_before,2.980021,3.135065,0.155044
21,request_security_seed,2.655821,3.024367,0.368546
21,send_security_key,3.071651,3.243596,0.171945
21,session_reset,3.224253,2.768193,-0.456060
21,write_target,2.906618,2.773222,-0.133396
22,enter_extended_session,3.304639,3.228232,-0.076407
22,read_target_after,3.330898,3.236263,-0.094635
22,read_target_before,2.796340,2.830072,0.033732
22,request_security_seed,3.037918,2.770917,-0.267001
22,send_security_key,2.826372,3.148264,0.321892
22,session_reset,2.621110,2.865411,0.244301
22,write_target,2.807933,3.084919,0.276986
23,enter_extended_session,2.845787,2.856402,0.010615
23,read_target_after,3.084781,2.836777,-0.248004
23,read_target_before,3.318606,2.940629,-0.377977
23,request_security_seed,2.900891,2.922191,0.021300
23,send_security_key,2.983303,3.208817,0.225514
23,session_reset,2.897120,2.718606,-0.178514
23,write_target,2.891323,2.958578,0.067255
24,enter_extended_session,3.360511,3.056773,-0.303738
24,read_target_after,3.070115,3.183953,0.113838
24,read_target_before,2.965215,3.050557,0.085342
24,request_security_seed,2.877914,2.699610,-0.178304
24,send_security_key,3.065784,2.839570,-0.226214
24,session_reset,2.717839,3.086735,0.368896
24,write_target,3.288784,3.046716,-0.242068
25,enter_extended_session,3.001392,2.764212,-0.237180
25,read_target_after,3.066902,3.203229,0.136327
25,read_target_before,2.763166,2.877493,0.114327
25,request_security_seed,2.902218,3.415264,0.513046
25,send_security_key,3.254982,2.893556,-0.361426
25,session_reset,2.814499,2.905150,0.090651
25,write_target,3.147428,3.005999,-0.141429
26,enter_extended_session,3.296607,3.154061,-0.142546
26,read_target_after,2.995874,2.897258,-0.098616
26,read_target_before,2.820156,3.229000,0.408844
26,request_security_seed,2.928548,2.627186,-0.301362
26,send_security_key,2.990496,3.049929,0.059433
26,session_reset,2.965215,2.975130,0.009915
26,write_target,3.316442,3.072557,-0.243885
27,enter_extended_session,3.108457,3.089878,-0.018579
27,read_target_after,3.046368,2.855074,-0.191294
27,read_target_before,3.216290,2.815545,-0.400745
27,request_security_seed,2.756112,3.216289,0.460177
27,send_security_key,2.985747,3.110341,0.124594
27,session_reset,2.764563,2.888040,0.123477
27,write_target,2.708342,2.932667,0.224325
