patch_state,step,count,median_ms,q1_ms,q3_ms,p95_ms,p99_ms,timeouts
after,enter_extended_session,500,3.024018,2.858235,3.104544,3.299701,3.386926,0
after,read_target_after,500,2.991228,2.849120,3.071805,3.272632,3.344499,0
after,read_target_before,500,3.006104,2.852769,3.097612,3.281691,3.369249,0
after,request_security_seed,500,3.019164,2.867558,3.100790,3.285258,3.409317,0
after,send_security_key,500,3.009911,2.860277,3.092513,3.264803,3.361725,0
after,session_reset,500,2.861778,2.715359,2.989587,3.188097,3.297701,0
after,write_target,500,3.035017,2.889872,3.108874,3.300973,3.405140,0
before,enter_extended_session,500,3.036766,2.892912,3.096096,3.304880,3.424404,0
before,read_target_after,500,3.016127,2.871086,3.082248,3.257101,3.366296,0
before,read_target_before,500,3.014067,2.864504,3.083645,3.274963,3.386939,0
before,request_security_seed,500,3.020422,2.874369,3.094017,3.281965,3.366592,0
before,send_security_key,500,3.022552,2.879433,3.086543,3.276829,3.392346,0
before,session_reset,500,2.894815,2.751171,2.966558,3.145105,3.318326,0
before,write_target,500,3.041829,2.891288,3.098888,3.284667,3.374911,0
