fleet_size,horizon_days,random_seed,hotpatch_capable_ratio,additional_delivery_delay_h,ota_slots,hotpatch_slots,ota_duration_min,hotpatch_duration_min,ota_only_exposure_vehicle_days,hotpatch_first_exposure_vehicle_days,exposure_reduction_fraction,time_to_80pct_protection_h,time_to_full_protection_h,model
1000,60,20260710,0.70,0,20,120,45,3,9484.128472,5089.359722,0.463381,359.583333,456.033333,same_discrete_event_model_as_fleet_main
1000,60,20260710,0.70,6,20,120,45,3,9484.128472,5089.579167,0.463358,359.583333,456.033333,same_discrete_event_model_as_fleet_main
1000,60,20260710,0.70,24,20,120,45,3,9484.128472,5757.752778,0.392906,360.400000,456.033333,same_discrete_event_model_as_fleet_main
1000,60,20260710,0.70,72,20,120,45,3,9484.128472,7927.835417,0.164094,431.416667,527.650000,same_discrete_event_model_as_fleet_main
1000,60,20260710,0.85,0,20,120,45,3,9484.128472,2970.517361,0.686791,16.883333,456.033333,same_discrete_event_model_as_fleet_main
1000,60,20260710,0.85,6,20,120,45,3,9484.128472,2970.736806,0.686768,16.883333,456.033333,same_discrete_event_model_as_fleet_main
1000,60,20260710,0.85,24,20,120,45,3,9484.128472,3711.092361,0.608705,39.566667,456.033333,same_discrete_event_model_as_fleet_main
1000,60,20260710,0.85,72,20,120,45,3,9484.128472,5790.152083,0.389490,87.866667,527.650000,same_discrete_event_model_as_fleet_main
1000,60,20260710,0.95,0,20,120,45,3,9484.128472,1333.852778,0.859359,14.383333,456.033333,same_discrete_event_model_as_fleet_main
1000,60,20260710,0.95,6,20,120,45,3,9484.128472,1334.072222,0.859336,14.383333,456.033333,same_discrete_event_model_as_fleet_main
1000,60,20260710,0.95,24,20,120,45,3,9484.128472,2125.937500,0.775843,36.466667,456.033333,same_discrete_event_model_as_fleet_main
1000,60,20260710,0.95,72,20,120,45,3,9484.128472,4152.811111,0.562130,84.516667,527.650000,same_discrete_event_model_as_fleet_main
1000,60,20260710,1.00,0,20,120,45,3,9484.128472,441.873611,0.953409,13.300000,20.766667,same_discrete_event_model_as_fleet_main
1000,60,20260710,1.00,6,20,120,45,3,9484.128472,442.093056,0.953386,13.300000,20.766667,same_discrete_event_model_as_fleet_main
1000,60,20260710,1.00,24,20,120,45,3,9484.128472,1265.197222,0.866598,35.766667,45.016667,same_discrete_event_model_as_fleet_main
1000,60,20260710,1.00,72,20,120,45,3,9484.128472,3266.553472,0.655577,83.833333,92.233333,same_discrete_event_model_as_fleet_main
