run_id,patch_state,mutation_kind,cases,attack_successes,attack_success_rate
run_1,after,missing_data,60,0,0.000000
run_1,after,read_only_did,65,0,0.000000
run_1,after,target_did_random_data,756,0,0.000000
run_1,after,unknown_did,119,0,0.000000
run_1,before,missing_data,60,0,0.000000
run_1,before,read_only_did,65,0,0.000000
run_1,before,target_did_random_data,756,756,1.000000
run_1,before,unknown_did,119,0,0.000000
run_2,after,missing_data,61,0,0.000000
run_2,after,read_only_did,63,0,0.000000
run_2,after,target_did_random_data,771,0,0.000000
run_2,after,unknown_did,105,0,0.000000
run_2,before,missing_data,61,0,0.000000
run_2,before,read_only_did,63,0,0.000000
run_2,before,target_did_random_data,771,771,1.000000
run_2,before,unknown_did,105,0,0.000000
run_3,after,missing_data,66,0,0.000000
run_3,after,read_only_did,48,0,0.000000
run_3,after,target_did_random_data,798,0,0.000000
run_3,after,unknown_did,88,0,0.000000
run_3,before,missing_data,66,0,0.000000
run_3,before,read_only_did,48,0,0.000000
run_3,before,target_did_random_data,798,798,1.000000
run_3,before,unknown_did,88,0,0.000000
