source_line,timestamp_us,can_id_hex,dlc,data_hex,uds_payload_hex
1,6292513,0x7E0,8,072E12345A86F2F2,2E12345A86F2F2
2,6296595,0x7E8,8,036E123400000000,6E1234
3,6316251,0x7E0,8,042E1234A8000000,2E1234A8
4,6320345,0x7E8,8,036E123400000000,6E1234
5,6340735,0x7E0,8,042E123440000000,2E123440
6,6344827,0x7E8,8,036E123400000000,6E1234
7,6365111,0x7E0,8,072E1234E69EAFDF,2E1234E69EAFDF
8,6369193,0x7E8,8,036E123400000000,6E1234
9,6389451,0x7E0,8,052E1234C7D30000,2E1234C7D3
10,6393542,0x7E8,8,036E123400000000,6E1234
11,6413746,0x7E0,8,062E12349FD47400,2E12349FD474
12,6417830,0x7E8,8,036E123400000000,6E1234
13,6437340,0x7E0,8,052E123485420000,2E12348542
14,6441430,0x7E8,8,036E123400000000,6E1234
15,6461682,0x7E0,8,052E1234ED5E0000,2E1234ED5E
16,6465773,0x7E8,8,036E123400000000,6E1234
17,6486113,0x7E0,8,062E1234CEE76500,2E1234CEE765
18,6490199,0x7E8,8,036E123400000000,6E1234
19,6510581,0x7E0,8,042E1234A7000000,2E1234A7
20,6514675,0x7E8,8,036E123400000000,6E1234
21,6534815,0x7E0,8,042E1234EA000000,2E1234EA
22,6538907,0x7E8,8,036E123400000000,6E1234
23,6559197,0x7E0,8,062E123442DC7300,2E123442DC73
24,6563283,0x7E8,8,036E123400000000,6E1234
25,6583591,0x7E0,8,042E12342F000000,2E12342F
26,6587686,0x7E8,8,036E123400000000,6E1234
27,6608174,0x7E0,8,072E123467D46FDE,2E123467D46FDE
28,6612256,0x7E8,8,036E123400000000,6E1234
29,6632497,0x7E0,8,032E123400000000,2E1234
30,6636595,0x7E8,8,037F2E1300000000,7F2E13
31,6656997,0x7E0,8,052E123472030000,2E12347203
32,6661089,0x7E8,8,036E123400000000,6E1234
33,6681274,0x7E0,8,032E123400000000,2E1234
34,6685372,0x7E8,8,037F2E1300000000,7F2E13
35,6705574,0x7E0,8,062E1234B12E3400,2E1234B12E34
36,6709660,0x7E8,8,036E123400000000,6E1234
37,6729949,0x7E0,8,072E12347569F44D,2E12347569F44D
38,6734029,0x7E8,8,036E123400000000,6E1234
39,6754312,0x7E0,8,062E1234CF255800,2E1234CF2558
40,6758399,0x7E8,8,036E123400000000,6E1234
41,6778668,0x7E0,8,062E123425926C00,2E123425926C
42,6782757,0x7E8,8,036E123400000000,6E1234
43,6802955,0x7E0,8,072E1234926C98AD,2E1234926C98AD
44,6807035,0x7E8,8,036E123400000000,6E1234
45,6826394,0x7E0,8,062E333364B3EA00,2E333364B3EA
46,6830480,0x7E8,8,037F2E3100000000,7F2E31
47,6849973,0x7E0,8,042E1234E3000000,2E1234E3
48,6854065,0x7E8,8,036E123400000000,6E1234
49,6874288,0x7E0,8,052E1234C9520000,2E1234C952
50,6878379,0x7E8,8,036E123400000000,6E1234
51,6898709,0x7E0,8,052E123485EF0000,2E123485EF
52,6902800,0x7E8,8,036E123400000000,6E1234
53,6923027,0x7E0,8,072E12341B6CA233,2E12341B6CA233
54,6927107,0x7E8,8,036E123400000000,6E1234
55,6947460,0x7E0,8,042E1234D3000000,2E1234D3
56,6951555,0x7E8,8,036E123400000000,6E1234
57,6971838,0x7E0,8,042E12349C000000,2E12349C
58,6975930,0x7E8,8,036E123400000000,6E1234
59,6996523,0x7E0,8,062E123434FB5000,2E123434FB50
60,7000609,0x7E8,8,036E123400000000,6E1234
61,7020681,0x7E0,8,072E12340834D02B,2E12340834D02B
62,7024769,0x7E8,8,036E123400000000,6E1234
63,7045024,0x7E0,8,072E1234915FDBE7,2E1234915FDBE7
64,7049104,0x7E8,8,036E123400000000,6E1234
65,7069401,0x7E0,8,042E100176000000,2E100176
66,7073499,0x7E8,8,037F2E3100000000,7F2E31
67,7094002,0x7E0,8,042E100175000000,2E100175
68,7098099,0x7E8,8,037F2E3100000000,7F2E31
69,7118171,0x7E0,8,062E1234E7C2AC00,2E1234E7C2AC
70,7122257,0x7E8,8,036E123400000000,6E1234
71,7142782,0x7E0,8,072E123404FF9FF8,2E123404FF9FF8
72,7146867,0x7E8,8,036E123400000000,6E1234
73,7166953,0x7E0,8,072E123441F1CED2,2E123441F1CED2
74,7171033,0x7E8,8,036E123400000000,6E1234
75,7191469,0x7E0,8,062E1234D68BD000,2E1234D68BD0
76,7195556,0x7E8,8,036E123400000000,6E1234
77,7215855,0x7E0,8,052E123470B20000,2E123470B2
78,7219943,0x7E8,8,036E123400000000,6E1234
79,7240148,0x7E0,8,072E12344228B4D6,2E12344228B4D6
80,7244231,0x7E8,8,036E123400000000,6E1234
81,7264511,0x7E0,8,072E123440FF64D7,2E123440FF64D7
82,7268593,0x7E8,8,036E123400000000,6E1234
83,7288921,0x7E0,8,072E1234398727C3,2E1234398727C3
84,7293001,0x7E8,8,036E123400000000,6E1234
85,7313302,0x7E0,8,072E12349D081440,2E12349D081440
86,7317389,0x7E8,8,036E123400000000,6E1234
87,7337823,0x7E0,8,052EF18745F60000,2EF18745F6
88,7341911,0x7E8,8,037F2E3100000000,7F2E31
89,7362049,0x7E0,8,042E123474000000,2E123474
90,7366141,0x7E8,8,036E123400000000,6E1234
91,7386517,0x7E0,8,072E3333E42F847B,2E3333E42F847B
92,7390600,0x7E8,8,037F2E3100000000,7F2E31
93,7410911,0x7E0,8,062E1234FCF15500,2E1234FCF155
94,7414995,0x7E8,8,036E123400000000,6E1234
95,7435284,0x7E0,8,052E12345C460000,2E12345C46
96,7439374,0x7E8,8,036E123400000000,6E1234
97,7459615,0x7E0,8,032E123400000000,2E1234
98,7463714,0x7E8,8,037F2E1300000000,7F2E13
99,7484067,0x7E0,8,042E12349E000000,2E12349E
100,7488161,0x7E8,8,036E123400000000,6E1234
101,7508447,0x7E0,8,042E12344D000000,2E12344D
