run_id,trial,patch_trigger_ns,validation_complete_ns,scheduled_ns,patch_active_ns,first_protected_request_ns,first_protected_response_ns,rollback_start_ns,rollback_complete_ns,activation_latency_ms,validation_rtt_ms,scheduling_rtt_ms,application_rtt_ms,rollback_latency_ms,protected_response,protected,measurement_scope,pre_activation_warmup_response,task_period_us,task_jitter_us,cpu_load_pct,bus_load_pct,runtime_telemetry_status
patch_activation_20260710,1,2497794296880,2497797036827,2497800899544,2497805066349,2497817720279,2497820509813,2497820579584,2498212343016,10.769469,2.739947,2.762087,3.011280,391.763432,7F2E31,true,host_end_to_end_monotonic,500100321388,,,,,not_instrumented_in_current_firmware
patch_activation_20260710,2,2499348483043,2499351386489,2499355149263,2499359276399,2499372032786,2499374796758,2499374855355,2499754150362,10.793356,2.903446,2.654182,2.994798,379.295007,7F2E31,true,host_end_to_end_monotonic,500100321388,,,,,not_instrumented_in_current_firmware
patch_activation_20260710,3,2500905625270,2500908381071,2500912299661,2500916323571,2500929142117,2500931918382,2500931970344,2501350241525,10.698301,2.755801,2.816842,2.914829,418.271181,7F2E31,true,host_end_to_end_monotonic,500100321388,,,,,not_instrumented_in_current_firmware
patch_activation_20260710,4,2502488127978,2502490962211,2502494818363,2502498752737,2502511703004,2502514531789,2502514577046,2502909513951,10.624759,2.834233,2.780315,2.839820,394.936905,7F2E31,true,host_end_to_end_monotonic,500100321388,,,,,not_instrumented_in_current_firmware
patch_activation_20260710,5,2504043660629,2504046640691,2504050283338,2504054265623,2504067077395,2504069917634,2504069956116,2504477772688,10.604994,2.980062,2.536639,2.889058,407.816572,7F2E31,true,host_end_to_end_monotonic,500100321388,,,,,not_instrumented_in_current_firmware
patch_activation_20260710,6,2505614524820,2505617470449,2505621260252,2505625115356,2505638330462,2505640865634,2505640939946,2506043340883,10.590536,2.945629,2.677788,2.750353,402.400937,7F2E31,true,host_end_to_end_monotonic,500100321388,,,,,not_instrumented_in_current_firmware
patch_activation_20260710,7,2507188351709,2507191114634,2507194984685,2507198866049,2507211806749,2507214599705,2507214640213,2507597682317,10.514340,2.762925,2.768303,2.720531,383.042104,7F2E31,true,host_end_to_end_monotonic,500100321388,,,,,not_instrumented_in_current_firmware
patch_activation_20260710,8,2508740632773,2508743428453,2508747320853,2508751242516,2508764421305,2508766968350,2508767040985,2509154426531,10.609743,2.795680,2.757268,2.815026,387.385546,7F2E31,true,host_end_to_end_monotonic,500100321388,,,,,not_instrumented_in_current_firmware
patch_activation_20260710,9,2510299853304,2510302631943,2510306500667,2510310423238,2510323380351,2510326096342,2510326140203,2510705210859,10.569934,2.778639,2.762715,2.773122,379.070656,7F2E31,true,host_end_to_end_monotonic,500100321388,,,,,not_instrumented_in_current_firmware
patch_activation_20260710,10,2511852722208,2511855332530,2511859170384,2511863067463,2511875960392,2511878764663,2511878807964,2512262733303,10.345255,2.610322,2.718087,2.793516,383.925339,7F2E31,true,host_end_to_end_monotonic,500100321388,,,,,not_instrumented_in_current_firmware
patch_activation_20260710,11,2513407024008,2513409718000,2513413836686,2513417559721,2513430608116,2513433256921,2513433296381,2513804286752,10.535713,2.693992,3.003319,2.612138,370.990371,7F2E31,true,host_end_to_end_monotonic,500100321388,,,,,not_instrumented_in_current_firmware
patch_activation_20260710,12,2514963520949,2514966308249,2514970181861,2514974080477,2514986932479,2514989870986,2514989924345,2515388976783,10.559528,2.787300,2.707122,2.792119,399.052438,7F2E31,true,host_end_to_end_monotonic,500100321388,,,,,not_instrumented_in_current_firmware
patch_activation_20260710,13,2516535668257,2516538472319,2516542381970,2516546295043,2516559267871,2516561978694,2516562058383,2516958801172,10.626786,2.804062,2.804970,2.801338,396.742789,7F2E31,true,host_end_to_end_monotonic,500100321388,,,,,not_instrumented_in_current_firmware
