trial,activation_latency_ms,validation_rtt_ms,scheduling_rtt_ms,application_rtt_ms,protected
1,10.506571,2.759671,2.726567,2.792776,true
2,10.620831,2.790192,2.840197,2.792497,true
3,10.656170,2.811772,2.714414,2.927847,true
4,10.207585,2.476888,3.084498,2.432539,true
5,10.253400,2.451606,2.917580,2.679494,true
6,10.545472,3.104961,2.447205,2.779925,true
7,10.574037,2.779575,2.781322,2.801716,true
8,10.638220,2.836565,2.770845,2.845714,true
9,10.835589,2.827067,3.012004,2.749055,true
10,10.864433,3.042734,2.589610,3.014867,true
11,10.546799,2.757297,2.799131,2.766236,true
12,10.761349,2.859962,2.834680,2.823436,true
13,10.449162,2.839429,2.608886,2.724751,true
14,10.375480,2.559858,2.795150,2.793823,true
15,10.572849,2.755830,2.770217,2.852419,true
16,10.322891,2.467320,2.896558,2.753176,true
17,10.608328,2.791728,2.809537,2.789772,true
18,10.530806,2.734250,2.819944,2.758763,true
19,10.542049,2.801296,2.681380,2.836495,true
20,10.328268,2.526823,2.820083,2.704009,true
21,10.426184,2.630885,2.812679,2.652187,true
22,10.623762,2.808629,3.014658,2.588841,true
23,10.585630,2.756179,2.773778,2.829232,true
24,10.874629,2.825461,2.750592,3.067387,true
25,10.595547,2.779366,2.832305,2.734319,true
26,10.510690,2.762464,2.776921,2.764420,true
27,10.546100,2.753037,2.679634,2.827486,true
28,10.521237,2.792775,3.000062,2.480519,true
29,10.266110,2.480798,2.852070,2.728173,true
30,10.820782,2.811562,2.823366,2.976525,true
31,10.394267,2.660009,2.893904,2.588213,true
32,10.583255,2.734319,2.853117,2.825950,true
33,10.292858,2.496233,2.992099,2.549102,true
34,10.513274,2.710293,2.824762,2.763791,true
35,10.472139,2.709456,2.751988,2.776992,true
36,10.753595,2.928405,2.577178,3.022550,true
37,10.613705,2.816381,2.740185,2.821200,true
38,10.522074,2.822387,2.679005,2.780064,true
39,10.519700,2.774338,2.770217,2.742281,true
40,10.300540,2.522143,2.757296,2.775664,true
41,10.593731,2.857308,2.715392,2.815124,true
42,10.580181,2.745633,2.796337,2.834540,true
43,10.635564,2.828742,2.711481,2.894951,true
44,10.513135,2.717837,2.774826,2.789702,true
45,10.718745,2.925053,2.649184,2.930570,true
46,10.296699,2.494976,3.140719,2.452233,true
47,10.544632,2.806603,2.955992,2.561953,true
48,10.595546,3.003693,2.557902,2.808908,true
49,10.695766,2.929801,2.554829,2.987140,true
50,10.646110,2.816800,2.727474,2.885314,true
51,10.561813,2.759181,3.026251,2.489808,true
52,10.549381,2.844596,2.700027,2.778179,true
53,10.517394,2.763791,3.030511,2.488341,true
54,10.639894,2.969750,2.571590,2.865409,true
55,10.553712,2.974081,2.828114,2.526963,true
56,10.583324,2.783766,2.777899,2.812680,true
57,10.548054,2.770845,2.764908,2.819803,true
58,10.351244,2.494557,3.002924,2.468437,true
59,10.339511,2.527731,2.810514,2.750032,true
60,10.310318,2.556086,2.965839,2.573965,true
61,10.602390,2.831257,2.699538,2.869320,true
62,10.485547,2.532759,2.771893,3.001668,true
63,10.375688,2.596384,2.815892,2.735366,true
64,10.551407,2.784115,2.752896,2.794242,true
65,10.764349,2.789213,2.716509,2.986651,true
66,11.458911,2.757295,2.826089,2.241246,true
67,10.302914,2.547844,2.974429,2.566213,true
68,10.318838,2.519699,2.859402,2.716859,true
69,10.590377,2.821200,2.902913,2.649812,true
70,10.720629,2.740744,2.765956,2.958575,true
71,10.653792,2.699817,2.856539,2.888386,true
72,10.634236,3.007324,2.607768,2.804787,true
73,10.561742,2.767772,2.779505,2.759181,true
74,10.571170,2.773917,2.737391,2.794451,true
75,10.537508,2.532271,2.768680,3.023527,true
76,10.685219,2.816311,2.721608,2.907661,true
77,10.609233,2.807371,3.069691,2.505801,true
78,10.609652,2.746471,2.719721,2.889922,true
79,10.569773,2.739975,2.754851,2.845574,true
80,10.598129,2.849764,2.617754,2.921002,true
81,10.412074,2.619221,2.890830,2.684243,true
82,10.700584,3.076885,2.538556,2.885243,true
83,10.943280,2.799200,2.744026,3.191773,true
84,10.722793,2.918836,2.664128,2.944188,true
85,10.560345,3.042314,2.427370,2.886570,true
86,10.615099,2.869738,2.687525,2.823365,true
87,10.600014,2.813098,2.792565,2.793962,true
88,10.588769,2.763511,2.790679,2.819314,true
89,10.792145,2.824203,2.955084,2.806184,true
90,10.539602,2.739836,2.771474,2.807511,true
91,10.802900,2.717836,2.733620,3.139881,true
92,10.598267,2.769378,2.699259,2.892925,true
93,10.543652,2.719582,2.956690,2.588142,true
94,10.530313,2.967026,2.529407,2.820711,true
95,10.469691,2.666433,2.616637,2.978270,true
96,10.323725,2.502518,2.979527,2.626065,true
97,10.534573,3.056910,2.454328,2.800666,true
98,10.500281,2.764489,2.666434,2.831675,true
99,10.746539,3.014448,2.512436,3.010886,true
100,10.544631,2.777899,2.795288,2.784394,true
