time_day,strategy,vulnerable_vehicles
0.000000,ota_only,1000
0.020833,ota_only,1000
0.041667,ota_only,1000
0.062500,ota_only,1000
0.083333,ota_only,1000
0.104167,ota_only,1000
0.125000,ota_only,1000
0.145833,ota_only,1000
0.166667,ota_only,1000
0.187500,ota_only,1000
0.208333,ota_only,1000
0.229167,ota_only,1000
0.250000,ota_only,1000
0.270833,ota_only,1000
0.291667,ota_only,1000
0.312500,ota_only,1000
0.333333,ota_only,1000
0.354167,ota_only,1000
0.375000,ota_only,1000
0.395833,ota_only,1000
0.416667,ota_only,1000
0.437500,ota_only,1000
0.458333,ota_only,1000
0.479167,ota_only,1000
0.500000,ota_only,1000
0.520833,ota_only,1000
0.541667,ota_only,1000
0.562500,ota_only,1000
0.583333,ota_only,1000
0.604167,ota_only,1000
0.625000,ota_only,1000
0.645833,ota_only,1000
0.666667,ota_only,1000
0.687500,ota_only,1000
0.708333,ota_only,1000
0.729167,ota_only,1000
0.750000,ota_only,1000
0.770833,ota_only,1000
0.791667,ota_only,1000
0.812500,ota_only,1000
0.833333,ota_only,1000
0.854167,ota_only,1000
0.875000,ota_only,1000
0.895833,ota_only,1000
0.916667,ota_only,997
0.937500,ota_only,990
0.958333,ota_only,982
0.979167,ota_only,975
1.000000,ota_only,964
1.020833,ota_only,953
1.041667,ota_only,949
1.062500,ota_only,949
1.083333,ota_only,949
1.104167,ota_only,949
1.125000,ota_only,949
1.145833,ota_only,949
1.166667,ota_only,949
1.187500,ota_only,949
1.208333,ota_only,949
1.229167,ota_only,949
1.250000,ota_only,949
1.270833,ota_only,949
1.291667,ota_only,949
1.312500,ota_only,949
1.333333,ota_only,949
1.354167,ota_only,949
1.375000,ota_only,949
1.395833,ota_only,949
1.416667,ota_only,949
1.437500,ota_only,949
1.458333,ota_only,949
1.479167,ota_only,949
1.500000,ota_only,949
1.520833,ota_only,949
1.541667,ota_only,949
1.562500,ota_only,949
1.583333,ota_only,949
1.604167,ota_only,949
1.625000,ota_only,949
1.645833,ota_only,949
1.666667,ota_only,949
1.687500,ota_only,949
1.708333,ota_only,949
1.729167,ota_only,949
1.750000,ota_only,949
1.770833,ota_only,949
1.791667,ota_only,949
1.812500,ota_only,949
1.833333,ota_only,949
1.854167,ota_only,949
1.875000,ota_only,949
1.895833,ota_only,949
1.916667,ota_only,943
1.937500,ota_only,934
1.958333,ota_only,929
1.979167,ota_only,917
2.000000,ota_only,905
2.020833,ota_only,893
2.041667,ota_only,891
2.062500,ota_only,891
2.083333,ota_only,891
2.104167,ota_only,891
2.125000,ota_only,891
2.145833,ota_only,891
2.166667,ota_only,891
2.187500,ota_only,891
2.208333,ota_only,891
2.229167,ota_only,891
2.250000,ota_only,891
2.270833,ota_only,891
2.291667,ota_only,891
2.312500,ota_only,891
2.333333,ota_only,891
2.354167,ota_only,891
2.375000,ota_only,891
