time_min,time_hour,strategy,vulnerable_vehicle_count
0,0.000,ota_only,1000
30,0.500,ota_only,1000
60,1.000,ota_only,1000
90,1.500,ota_only,1000
120,2.000,ota_only,1000
150,2.500,ota_only,1000
180,3.000,ota_only,1000
210,3.500,ota_only,1000
240,4.000,ota_only,1000
270,4.500,ota_only,1000
300,5.000,ota_only,1000
330,5.500,ota_only,1000
360,6.000,ota_only,1000
390,6.500,ota_only,1000
420,7.000,ota_only,1000
450,7.500,ota_only,1000
480,8.000,ota_only,1000
510,8.500,ota_only,1000
540,9.000,ota_only,1000
570,9.500,ota_only,1000
600,10.000,ota_only,1000
630,10.500,ota_only,1000
660,11.000,ota_only,1000
690,11.500,ota_only,1000
720,12.000,ota_only,1000
750,12.500,ota_only,1000
780,13.000,ota_only,1000
810,13.500,ota_only,1000
840,14.000,ota_only,1000
870,14.500,ota_only,1000
900,15.000,ota_only,1000
930,15.500,ota_only,1000
960,16.000,ota_only,1000
990,16.500,ota_only,1000
1020,17.000,ota_only,1000
1050,17.500,ota_only,1000
1080,18.000,ota_only,1000
1110,18.500,ota_only,1000
1140,19.000,ota_only,1000
1170,19.500,ota_only,1000
1200,20.000,ota_only,1000
1230,20.500,ota_only,1000
1260,21.000,ota_only,1000
1290,21.500,ota_only,1000
1320,22.000,ota_only,994
1350,22.500,ota_only,984
1380,23.000,ota_only,975
1410,23.500,ota_only,967
1440,24.000,ota_only,951
1470,24.500,ota_only,944
1500,25.000,ota_only,942
1530,25.500,ota_only,942
1560,26.000,ota_only,942
1590,26.500,ota_only,942
1620,27.000,ota_only,942
1650,27.500,ota_only,942
1680,28.000,ota_only,942
1710,28.500,ota_only,942
1740,29.000,ota_only,942
1770,29.500,ota_only,942
1800,30.000,ota_only,942
1830,30.500,ota_only,942
1860,31.000,ota_only,942
1890,31.500,ota_only,942
1920,32.000,ota_only,942
1950,32.500,ota_only,942
1980,33.000,ota_only,942
2010,33.500,ota_only,942
2040,34.000,ota_only,942
2070,34.500,ota_only,942
2100,35.000,ota_only,942
2130,35.500,ota_only,942
2160,36.000,ota_only,942
2190,36.500,ota_only,942
2220,37.000,ota_only,942
2250,37.500,ota_only,942
2280,38.000,ota_only,942
2310,38.500,ota_only,942
2340,39.000,ota_only,942
2370,39.500,ota_only,942
2400,40.000,ota_only,942
2430,40.500,ota_only,942
2460,41.000,ota_only,942
2490,41.500,ota_only,942
2520,42.000,ota_only,942
2550,42.500,ota_only,942
2580,43.000,ota_only,942
2610,43.500,ota_only,942
2640,44.000,ota_only,942
2670,44.500,ota_only,942
2700,45.000,ota_only,942
2730,45.500,ota_only,942
2760,46.000,ota_only,938
2790,46.500,ota_only,935
2820,47.000,ota_only,927
2850,47.500,ota_only,917
2880,48.000,ota_only,905
2910,48.500,ota_only,892
2940,49.000,ota_only,889
2970,49.500,ota_only,889
3000,50.000,ota_only,889
3030,50.500,ota_only,889
3060,51.000,ota_only,889
