vehicle_id,hotpatch_capable,ota_only_protected_min,hotpatch_first_protected_min,exposure_reduction_min,ota_only_ota_finished_min,hotpatch_first_ota_finished_min
vehicle-0000,true,1438,906,532,1438,1438
vehicle-0001,true,1352,517,835,1352,1352
vehicle-0002,true,1337,675,662,1337,1337
vehicle-0003,true,1384,728,656,1384,1384
vehicle-0004,true,1357,597,760,1357,1357
vehicle-0005,true,1374,998,376,1374,1374
vehicle-0006,true,1322,498,824,1322,1322
vehicle-0007,true,1415,462,953,1415,1415
vehicle-0008,true,1349,985,364,1349,1349
vehicle-0009,true,1315,1052,263,1315,1315
vehicle-0010,true,1392,683,709,1392,1392
vehicle-0011,true,1380,818,562,1380,1380
vehicle-0012,true,1314,564,750,1314,1314
vehicle-0013,true,1424,468,956,1424,1424
vehicle-0014,true,1432,566,866,1432,1432
vehicle-0015,true,1419,692,727,1419,1419
vehicle-0016,true,1324,557,767,1324,1324
vehicle-0017,true,1376,557,819,1376,1376
vehicle-0018,true,1325,514,811,1325,1325
vehicle-0019,true,1310,439,871,1310,1310
vehicle-0020,true,1315,485,830,1315,1315
vehicle-0021,true,1430,946,484,1430,1430
vehicle-0022,true,1315,788,527,1315,1315
vehicle-0023,true,1357,685,672,1357,1357
vehicle-0024,true,1424,426,998,1424,1424
vehicle-0025,true,1345,456,889,1345,1345
vehicle-0026,true,1447,693,754,1447,1447
vehicle-0027,true,1389,987,402,1389,1389
vehicle-0028,true,1333,934,399,1333,1333
vehicle-0029,true,1384,1004,380,1384,1384
vehicle-0030,true,1434,766,668,1434,1434
vehicle-0031,true,1429,753,676,1429,1429
vehicle-0032,true,1330,707,623,1330,1330
vehicle-0033,true,1444,453,991,1444,1444
vehicle-0034,true,1350,438,912,1350,1350
vehicle-0035,true,1337,440,897,1337,1337
vehicle-0036,true,1437,526,911,1437,1437
vehicle-0037,true,1311,439,872,1311,1311
vehicle-0038,true,1421,670,751,1421,1421
vehicle-0039,true,1363,487,876,1363,1363
vehicle-0040,true,1435,433,1002,1435,1435
vehicle-0041,true,1356,488,868,1356,1356
vehicle-0042,true,1377,476,901,1377,1377
vehicle-0043,true,1452,684,768,1452,1452
vehicle-0044,true,2880,541,2339,2880,2880
vehicle-0045,true,1392,1080,312,1392,1392
vehicle-0046,true,1387,442,945,1387,1387
vehicle-0047,true,1395,817,578,1395,1395
vehicle-0048,true,1423,657,766,1423,1423
vehicle-0049,true,1435,711,724,1435,1435
vehicle-0050,true,1401,621,780,1401,1401
vehicle-0051,true,2750,948,1802,2750,2750
vehicle-0052,true,2882,757,2125,2882,2882
vehicle-0053,true,2824,389,2435,2824,2824
vehicle-0054,true,1437,755,682,1437,1437
vehicle-0055,true,2817,514,2303,2817,2817
vehicle-0056,true,2822,475,2347,2822,2822
vehicle-0057,true,1440,611,829,1440,1440
vehicle-0058,true,2753,632,2121,2753,2753
vehicle-0059,true,1446,482,964,1446,1446
vehicle-0060,true,1466,552,914,1466,1466
vehicle-0061,true,2848,559,2289,2848,2848
vehicle-0062,true,2832,716,2116,2832,2832
vehicle-0063,true,2871,1157,1714,2871,2871
vehicle-0064,true,1468,542,926,1468,1468
vehicle-0065,true,2830,537,2293,2830,2830
vehicle-0066,true,1469,514,955,1469,1469
vehicle-0067,true,2826,449,2377,2826,2826
vehicle-0068,true,2764,547,2217,2764,2764
vehicle-0069,true,2818,557,2261,2818,2818
vehicle-0070,true,1474,552,922,1474,1474
vehicle-0071,true,2854,735,2119,2854,2854
vehicle-0072,true,2749,797,1952,2749,2749
vehicle-0073,true,2795,452,2343,2795,2795
vehicle-0074,true,1480,496,984,1480,1480
vehicle-0075,true,2786,555,2231,2786,2786
vehicle-0076,true,2810,470,2340,2810,2810
vehicle-0077,true,2887,736,2151,2887,2887
vehicle-0078,true,2772,599,2173,2772,2772
vehicle-0079,true,2866,412,2454,2866,2866
vehicle-0080,true,2833,380,2453,2833,2833
vehicle-0081,true,2802,742,2060,2802,2802
vehicle-0082,true,2826,438,2388,2826,2826
vehicle-0083,true,2806,466,2340,2806,2806
vehicle-0084,true,2754,436,2318,2754,2754
vehicle-0085,true,2815,932,1883,2815,2815
vehicle-0086,true,2874,694,2180,2874,2874
vehicle-0087,true,2868,445,2423,2868,2868
vehicle-0088,true,2842,536,2306,2842,2842
vehicle-0089,true,2814,697,2117,2814,2814
vehicle-0090,true,2847,793,2054,2847,2847
vehicle-0091,true,2851,389,2462,2851,2851
vehicle-0092,true,2855,419,2436,2855,2855
vehicle-0093,true,4298,1018,3280,4298,4298
vehicle-0094,true,4259,488,3771,4259,4259
vehicle-0095,true,4312,1060,3252,4312,4312
vehicle-0096,true,4244,676,3568,4244,4244
vehicle-0097,true,2859,489,2370,2859,2859
vehicle-0098,true,2884,817,2067,2884,2884
vehicle-0099,true,2887,529,2358,2887,2887
vehicle-0100,true,2860,742,2118,2860,2860
vehicle-0101,true,4321,915,3406,4321,4321
vehicle-0102,true,4269,977,3292,4269,4269
vehicle-0103,true,2887,453,2434,2887,2887
vehicle-0104,true,2875,452,2423,2875,2875
vehicle-0105,true,2878,715,2163,2878,2878
vehicle-0106,true,4334,868,3466,4334,4334
vehicle-0107,true,4274,830,3444,4274,4274
vehicle-0108,true,2887,465,2422,2887,2887
vehicle-0109,true,4332,657,3675,4332,4332
vehicle-0110,true,2892,488,2404,2892,2892
vehicle-0111,true,2893,800,2093,2893,2893
vehicle-0112,true,4268,407,3861,4268,4268
vehicle-0113,true,4220,541,3679,4220,4220
vehicle-0114,true,2896,837,2059,2896,2896
vehicle-0115,true,2899,696,2203,2899,2899
vehicle-0116,true,2900,680,2220,2900,2900
vehicle-0117,true,4240,720,3520,4240,4240
vehicle-0118,true,4295,513,3782,4295,4295
vehicle-0119,true,4282,1024,3258,4282,4282
vehicle-0120,true,2904,764,2140,2904,2904
vehicle-0121,true,4224,484,3740,4224,4224
vehicle-0122,true,4305,517,3788,4305,4305
vehicle-0123,true,4312,438,3874,4312,4312
vehicle-0124,true,4227,464,3763,4227,4227
vehicle-0125,true,4326,567,3759,4326,4326
vehicle-0126,true,4282,968,3314,4282,4282
vehicle-0127,true,2905,1155,1750,2905,2905
vehicle-0128,true,2913,883,2030,2913,2913
vehicle-0129,true,4294,457,3837,4294,4294
vehicle-0130,true,4199,529,3670,4199,4199
vehicle-0131,true,2920,756,2164,2920,2920
vehicle-0132,true,4196,982,3214,4196,4196
vehicle-0133,true,4274,539,3735,4274,4274
vehicle-0134,true,4300,616,3684,4300,4300
vehicle-0135,true,4324,842,3482,4324,4324
vehicle-0136,true,4328,480,3848,4328,4328
vehicle-0137,true,4190,480,3710,4190,4190
vehicle-0138,true,4206,816,3390,4206,4206
vehicle-0139,true,2932,743,2189,2932,2932
vehicle-0140,true,4192,438,3754,4192,4192
vehicle-0141,true,4254,554,3700,4254,4254
vehicle-0142,true,4330,827,3503,4330,4330
vehicle-0143,true,4271,675,3596,4271,4271
vehicle-0144,true,4265,541,3724,4265,4265
vehicle-0145,true,4216,472,3744,4216,4216
vehicle-0146,true,4284,465,3819,4284,4284
vehicle-0147,true,4331,813,3518,4331,4331
vehicle-0148,true,4269,420,3849,4269,4269
vehicle-0149,true,4225,604,3621,4225,4225
vehicle-0150,true,4270,542,3728,4270,4270
vehicle-0151,true,4310,489,3821,4310,4310
vehicle-0152,true,4314,479,3835,4314,4314
vehicle-0153,true,4317,780,3537,4317,4317
vehicle-0154,true,5638,754,4884,5638,5638
vehicle-0155,true,4315,498,3817,4315,4315
vehicle-0156,true,5746,604,5142,5746,5746
vehicle-0157,true,5666,771,4895,5666,5666
vehicle-0158,true,4329,642,3687,4329,4329
vehicle-0159,true,5699,660,5039,5699,5699
vehicle-0160,true,5638,552,5086,5638,5638
vehicle-0161,true,5638,475,5163,5638,5638
vehicle-0162,true,5647,570,5077,5647,5647
vehicle-0163,true,5667,437,5230,5667,5667
vehicle-0164,true,4339,696,3643,4339,4339
vehicle-0165,true,4345,784,3561,4345,4345
vehicle-0166,true,5762,586,5176,5762,5762
vehicle-0167,true,5682,469,5213,5682,5682
vehicle-0168,true,5737,506,5231,5737,5737
vehicle-0169,true,5631,475,5156,5631,5631
vehicle-0170,true,5719,475,5244,5719,5719
vehicle-0171,true,4355,432,3923,4355,4355
vehicle-0172,true,5747,731,5016,5747,5747
vehicle-0173,true,5687,662,5025,5687,5687
vehicle-0174,true,4357,425,3932,4357,4357
vehicle-0175,true,4359,384,3975,4359,4359
vehicle-0176,true,5627,517,5110,5627,5627
vehicle-0177,true,4360,514,3846,4360,4360
vehicle-0178,true,5717,620,5097,5717,5717
vehicle-0179,true,4362,466,3896,4362,4362
vehicle-0180,true,5644,682,4962,5644,5644
vehicle-0181,true,5755,1065,4690,5755,5755
vehicle-0182,true,5695,791,4904,5695,5695
vehicle-0183,true,5695,497,5198,5695,5695
vehicle-0184,true,5645,467,5178,5645,5645
vehicle-0185,true,5653,446,5207,5653,5653
vehicle-0186,true,4374,666,3708,4374,4374
vehicle-0187,true,5630,741,4889,5630,5630
vehicle-0188,true,5698,444,5254,5698,5698
vehicle-0189,true,5703,1174,4529,5703,5703
vehicle-0190,true,5723,746,4977,5723,5723
vehicle-0191,true,5680,838,4842,5680,5680
vehicle-0192,true,5627,691,4936,5627,5627
vehicle-0193,true,5763,531,5232,5763,5763
vehicle-0194,true,4400,494,3906,4400,4400
vehicle-0195,true,5678,545,5133,5678,5678
vehicle-0196,true,5755,457,5298,5755,5755
