case,request_payload,response_payload,expected,passed,note
reset_default_session,1001,500100321388,500100321388,true,matched 500100321388
default_session_write_blocked,2E1234AABB,7F2E22,7F2E22,true,matched 7F2E22
enter_extended_session,1003,500300321388,500300321388,true,matched 500300321388
extended_write_without_unlock,2E1234AABB,7F2E33,7F2E33,true,matched 7F2E33
read_only_status_did_allowed,221001,6210014210,6210014210,true,matched 6210014210
read_only_status_write_rejected,2E1001AA,7F2E31,7F2E31,true,matched 7F2E31
request_seed_for_wrong_key,2701,67011202,6701xxxx,true,seed=0x1202
wrong_key_blocked,27020000,7F2735,7F2735,true,matched 7F2735
request_seed_for_attempt_limit,2701,67011203,6701xxxx,true,seed=0x1203
second_wrong_key_triggers_lockout,27020000,7F2736,7F2736,true,matched 7F2736
seed_request_during_lockout_blocked,2701,7F2737,7F2737,true,matched 7F2737
lockout_recovery_tick_1,1003,500300321388,500300321388,true,matched 500300321388
lockout_recovery_tick_2,1003,500300321388,500300321388,true,matched 500300321388
request_seed_for_valid_key,2701,67011204,6701xxxx,true,seed=0x1204
valid_key_unlocks_security,2702B75E,6702,6702,true,matched 6702
authorized_did_write_quarantined,2E1234AABB,7F2E31,7F2E31,true,matched 7F2E31
read_back_quarantined_write_did,221234,621234,621234,true,matched 621234
session_reset_clears_unlock,1001,500100321388,500100321388,true,matched 500100321388
replay_write_after_reset_blocked,2E1234AABB,7F2E22,7F2E22,true,matched 7F2E22
