trial,mutation_kind,did_hex,data_hex,request_payload,request_can_data_hex,response_payload,response_class,response_sid,nrc,attack_pass,send_wall_iso,send_monotonic_ns,recv_monotonic_ns,latency_ms,observer_request_seen,observer_response_seen,observer_request_timestamp_us,observer_response_timestamp_us,observer_latency_ms,observer_consistent,consistency_note
1,target_did_random_data,0x1234,51BFC797,2E123451BFC797,072E123451BFC797,6E1234,positive,0x6E,,true,2026-06-20T19:29:29.106799+02:00,33783152054364,33783155024297,2.969933,true,true,214120332,214124405,4.073000,true,matched_request_response
2,target_did_random_data,0x1234,A6884D,2E1234A6884D,062E1234A6884D00,6E1234,positive,0x6E,,true,2026-06-20T19:29:29.122132+02:00,33783167388729,33783169629239,2.240510,true,true,214135684,214139763,4.079000,true,matched_request_response
3,target_did_random_data,0x1234,3D47,2E12343D47,052E12343D470000,6E1234,positive,0x6E,,true,2026-06-20T19:29:29.136840+02:00,33783182095360,33783184248498,2.153138,true,true,214150358,214154439,4.081000,true,matched_request_response
4,target_did_random_data,0x1234,DB0F,2E1234DB0F,052E1234DB0F0000,6E1234,positive,0x6E,,true,2026-06-20T19:29:29.151451+02:00,33783196706867,33783198980482,2.273615,true,true,214164967,214169055,4.088000,true,matched_request_response
5,unknown_did,0xF187,AA,2EF187AA,042EF187AA000000,7F2E31,negative,0x7F,0x31,false,2026-06-20T19:29:29.166078+02:00,33783211333110,33783213623487,2.290377,true,true,214179582,214183667,4.085000,true,matched_request_response
6,target_did_random_data,0x1234,DCD2,2E1234DCD2,052E1234DCD20000,6E1234,positive,0x6E,,true,2026-06-20T19:29:29.180689+02:00,33783225943919,33783228179889,2.235970,true,true,214194170,214198252,4.082000,true,matched_request_response
7,read_only_did,0x1001,646EAA,2E1001646EAA,062E1001646EAA00,7F2E31,negative,0x7F,0x31,false,2026-06-20T19:29:29.195157+02:00,33783240411134,33783242857536,2.446402,true,true,214208609,214212690,4.081000,true,matched_request_response
8,target_did_random_data,0x1234,A418,2E1234A418,052E1234A4180000,6E1234,positive,0x6E,,true,2026-06-20T19:29:29.209862+02:00,33783255119162,33783257493208,2.374046,true,true,214223347,214227427,4.080000,true,matched_request_response
9,target_did_random_data,0x1234,9B,2E12349B,042E12349B000000,6E1234,positive,0x6E,,true,2026-06-20T19:29:29.224607+02:00,33783269863577,33783272123643,2.260066,true,true,214238124,214242211,4.087000,true,matched_request_response
10,target_did_random_data,0x1234,74F27A,2E123474F27A,062E123474F27A00,6E1234,positive,0x6E,,true,2026-06-20T19:29:29.239167+02:00,33783284423611,33783286871829,2.448218,true,true,214252603,214256680,4.077000,true,matched_request_response
11,target_did_random_data,0x1234,138003,2E1234138003,062E123413800300,6E1234,positive,0x6E,,true,2026-06-20T19:29:29.254067+02:00,33783299322585,33783302461953,3.139368,true,true,214267500,214271581,4.081000,true,matched_request_response
12,target_did_random_data,0x1234,9B,2E12349B,042E12349B000000,6E1234,positive,0x6E,,true,2026-06-20T19:29:29.269674+02:00,33783314929890,33783318140915,3.211025,true,true,214283102,214287189,4.087000,true,matched_request_response
13,target_did_random_data,0x1234,282D,2E1234282D,052E1234282D0000,6E1234,positive,0x6E,,true,2026-06-20T19:29:29.285237+02:00,33783330495639,33783332776099,2.280460,true,true,214298677,214302759,4.082000,true,matched_request_response
14,target_did_random_data,0x1234,914458,2E1234914458,062E123491445800,6E1234,positive,0x6E,,true,2026-06-20T19:29:29.299818+02:00,33783345073972,33783347379225,2.305253,true,true,214313217,214317299,4.082000,true,matched_request_response
15,target_did_random_data,0x1234,9D4D3CD1,2E12349D4D3CD1,072E12349D4D3CD1,6E1234,positive,0x6E,,true,2026-06-20T19:29:29.314366+02:00,33783359620875,33783362024745,2.403870,true,true,214327721,214331796,4.075000,true,matched_request_response
16,target_did_random_data,0x1234,0A8F68,2E12340A8F68,062E12340A8F6800,6E1234,positive,0x6E,,true,2026-06-20T19:29:29.329041+02:00,33783374295729,33783378162844,3.867115,true,true,214342408,214346488,4.080000,true,matched_request_response
17,unknown_did,0xF187,CC6DD733,2EF187CC6DD733,072EF187CC6DD733,7F2E31,negative,0x7F,0x31,false,2026-06-20T19:29:29.345512+02:00,33783390767739,33783393247526,2.479787,true,true,214358861,214362936,4.075000,true,matched_request_response
18,target_did_random_data,0x1234,CCD62A9A,2E1234CCD62A9A,072E1234CCD62A9A,6E1234,positive,0x6E,,true,2026-06-20T19:29:29.360243+02:00,33783405500421,33783407939490,2.439069,true,true,214373599,214377671,4.072000,true,matched_request_response
19,target_did_random_data,0x1234,22,2E123422,042E123422000000,6E1234,positive,0x6E,,true,2026-06-20T19:29:29.375068+02:00,33783420324316,33783422543734,2.219418,true,true,214388424,214392509,4.085000,true,matched_request_response
20,target_did_random_data,0x1234,E6743AE5,2E1234E6743AE5,072E1234E6743AE5,6E1234,positive,0x6E,,true,2026-06-20T19:29:29.389564+02:00,33783434819257,33783437186041,2.366784,true,true,214402885,214406960,4.075000,true,matched_request_response
21,target_did_random_data,0x1234,4EBC,2E12344EBC,052E12344EBC0000,6E1234,positive,0x6E,,true,2026-06-20T19:29:29.404274+02:00,33783449528961,33783451799364,2.270403,true,true,214417606,214421687,4.081000,true,matched_request_response
22,target_did_random_data,0x1234,C7772B85,2E1234C7772B85,072E1234C7772B85,6E1234,positive,0x6E,,true,2026-06-20T19:29:29.419014+02:00,33783464269466,33783466539379,2.269913,true,true,214432316,214436388,4.072000,true,matched_request_response
23,target_did_random_data,0x1234,983A,2E1234983A,052E1234983A0000,6E1234,positive,0x6E,,true,2026-06-20T19:29:29.433790+02:00,33783479045519,33783482344614,3.299095,true,true,214447097,214451179,4.082000,true,matched_request_response
24,target_did_random_data,0x1234,36,2E123436,042E123436000000,6E1234,positive,0x6E,,true,2026-06-20T19:29:29.449585+02:00,33783494840627,33783497763068,2.922441,true,true,214462885,214466972,4.087000,true,matched_request_response
25,unknown_did,0x2222,A479EC,2E2222A479EC,062E2222A479EC00,7F2E31,negative,0x7F,0x31,false,2026-06-20T19:29:29.464798+02:00,33783510053887,33783512490023,2.436136,true,true,214478074,214482153,4.079000,true,matched_request_response
26,target_did_random_data,0x1234,D12259BA,2E1234D12259BA,072E1234D12259BA,6E1234,positive,0x6E,,true,2026-06-20T19:29:29.479500+02:00,33783524755420,33783527066190,2.310770,true,true,214492748,214496823,4.075000,true,matched_request_response
27,unknown_did,0x3333,7096,2E33337096,052E333370960000,7F2E31,negative,0x7F,0x31,false,2026-06-20T19:29:29.494071+02:00,33783539327187,33783542142701,2.815514,true,true,214507317,214511397,4.080000,true,matched_request_response
28,target_did_random_data,0x1234,1C67C18C,2E12341C67C18C,072E12341C67C18C,6E1234,positive,0x6E,,true,2026-06-20T19:29:29.509180+02:00,33783554435546,33783557328234,2.892688,true,true,214522423,214526496,4.073000,true,matched_request_response
29,read_only_did,0x1001,9EA9FE,2E10019EA9FE,062E10019EA9FE00,7F2E31,negative,0x7F,0x31,false,2026-06-20T19:29:29.524341+02:00,33783569595796,33783571948471,2.352675,true,true,214537567,214541648,4.081000,true,matched_request_response
30,missing_data,0x1234,,2E1234,032E123400000000,7F2E13,negative,0x7F,0x13,false,2026-06-20T19:29:29.538966+02:00,33783584221690,33783586641553,2.419863,true,true,214552195,214556289,4.094000,true,matched_request_response
31,target_did_random_data,0x1234,810E,2E1234810E,052E1234810E0000,6E1234,positive,0x6E,,true,2026-06-20T19:29:29.553673+02:00,33783598930696,33783601305441,2.374745,true,true,214566902,214570989,4.087000,true,matched_request_response
32,target_did_random_data,0x1234,C227,2E1234C227,052E1234C2270000,6E1234,positive,0x6E,,true,2026-06-20T19:29:29.568291+02:00,33783613546324,33783615875463,2.329139,true,true,214581478,214585558,4.080000,true,matched_request_response
33,target_did_random_data,0x1234,ED52,2E1234ED52,052E1234ED520000,6E1234,positive,0x6E,,true,2026-06-20T19:29:29.583073+02:00,33783628328942,33783630614151,2.285209,true,true,214596261,214600344,4.083000,true,matched_request_response
34,target_did_random_data,0x1234,427CA6A2,2E1234427CA6A2,072E1234427CA6A2,6E1234,positive,0x6E,,true,2026-06-20T19:29:29.597625+02:00,33783642881084,33783645267353,2.386269,true,true,214610827,214614902,4.075000,true,matched_request_response
35,target_did_random_data,0x1234,E4,2E1234E4,042E1234E4000000,6E1234,positive,0x6E,,true,2026-06-20T19:29:29.612254+02:00,33783657509213,33783659869432,2.360219,true,true,214625430,214629514,4.084000,true,matched_request_response
36,unknown_did,0xF187,0C,2EF1870C,042EF1870C000000,7F2E31,negative,0x7F,0x31,false,2026-06-20T19:29:29.626844+02:00,33783672099908,33783674497701,2.397793,true,true,214640021,214644112,4.091000,true,matched_request_response
37,target_did_random_data,0x1234,DB9A2D,2E1234DB9A2D,062E1234DB9A2D00,6E1234,positive,0x6E,,true,2026-06-20T19:29:29.641467+02:00,33783686721961,33783689070795,2.348834,true,true,214654600,214658677,4.077000,true,matched_request_response
38,target_did_random_data,0x1234,C0,2E1234C0,042E1234C0000000,6E1234,positive,0x6E,,true,2026-06-20T19:29:29.656043+02:00,33783701297290,33783703738943,2.441653,true,true,214669174,214673261,4.087000,true,matched_request_response
39,target_did_random_data,0x1234,3E,2E12343E,042E12343E000000,6E1234,positive,0x6E,,true,2026-06-20T19:29:29.670690+02:00,33783715945115,33783718390819,2.445704,true,true,214683820,214687907,4.087000,true,matched_request_response
40,unknown_did,0x3333,3112,2E33333112,052E333331120000,7F2E31,negative,0x7F,0x31,false,2026-06-20T19:29:29.685332+02:00,33783730586514,33783733134885,2.548371,true,true,214698435,214702515,4.080000,true,matched_request_response
41,target_did_random_data,0x1234,DC,2E1234DC,042E1234DC000000,6E1234,positive,0x6E,,true,2026-06-20T19:29:29.700193+02:00,33783745450148,33783747725230,2.275082,true,true,214713328,214717412,4.084000,true,matched_request_response
42,target_did_random_data,0x1234,AA,2E1234AA,042E1234AA000000,6E1234,positive,0x6E,,true,2026-06-20T19:29:29.715123+02:00,33783760378735,33783763392249,3.013514,true,true,214728222,214732311,4.089000,true,matched_request_response
43,target_did_random_data,0x1234,C2E73F,2E1234C2E73F,062E1234C2E73F00,6E1234,positive,0x6E,,true,2026-06-20T19:29:29.730426+02:00,33783775680554,33783778025826,2.345272,true,true,214743494,214747571,4.077000,true,matched_request_response
44,unknown_did,0x2222,07,2E222207,042E222207000000,7F2E31,negative,0x7F,0x31,false,2026-06-20T19:29:29.745004+02:00,33783790260143,33783792633422,2.373279,true,true,214758088,214762179,4.091000,true,matched_request_response
45,target_did_random_data,0x1234,DA1B9E,2E1234DA1B9E,062E1234DA1B9E00,6E1234,positive,0x6E,,true,2026-06-20T19:29:29.759819+02:00,33783805086483,33783808497464,3.410981,true,true,214773056,214777134,4.078000,true,matched_request_response
46,target_did_random_data,0x1234,DE4A,2E1234DE4A,052E1234DE4A0000,6E1234,positive,0x6E,,true,2026-06-20T19:29:29.776016+02:00,33783821269420,33783823872407,2.602987,true,true,214789049,214793131,4.082000,true,matched_request_response
47,target_did_random_data,0x1234,3F,2E12343F,042E12343F000000,6E1234,positive,0x6E,,true,2026-06-20T19:29:29.790803+02:00,33783836057346,33783838539926,2.482580,true,true,214803828,214807914,4.086000,true,matched_request_response
48,target_did_random_data,0x1234,AA,2E1234AA,042E1234AA000000,6E1234,positive,0x6E,,true,2026-06-20T19:29:29.805567+02:00,33783850821806,33783853711072,2.889266,true,true,214818594,214822678,4.084000,true,matched_request_response
49,target_did_random_data,0x1234,2126FE,2E12342126FE,062E12342126FE00,6E1234,positive,0x6E,,true,2026-06-20T19:29:29.820674+02:00,33783865928697,33783868836193,2.907496,true,true,214833667,214837746,4.079000,true,matched_request_response
