source_line,timestamp_us,can_id_hex,dlc,data_hex,uds_payload_hex
1,214120332,0x7E0,8,072E123451BFC797,2E123451BFC797
2,214124405,0x7E8,8,036E123400000000,6E1234
3,214135684,0x7E0,8,062E1234A6884D00,2E1234A6884D
4,214139763,0x7E8,8,036E123400000000,6E1234
5,214150358,0x7E0,8,052E12343D470000,2E12343D47
6,214154439,0x7E8,8,036E123400000000,6E1234
7,214164967,0x7E0,8,052E1234DB0F0000,2E1234DB0F
8,214169055,0x7E8,8,036E123400000000,6E1234
9,214179582,0x7E0,8,042EF187AA000000,2EF187AA
10,214183667,0x7E8,8,037F2E3100000000,7F2E31
11,214194170,0x7E0,8,052E1234DCD20000,2E1234DCD2
12,214198252,0x7E8,8,036E123400000000,6E1234
13,214208609,0x7E0,8,062E1001646EAA00,2E1001646EAA
14,214212690,0x7E8,8,037F2E3100000000,7F2E31
15,214223347,0x7E0,8,052E1234A4180000,2E1234A418
16,214227427,0x7E8,8,036E123400000000,6E1234
17,214238124,0x7E0,8,042E12349B000000,2E12349B
18,214242211,0x7E8,8,036E123400000000,6E1234
19,214252603,0x7E0,8,062E123474F27A00,2E123474F27A
20,214256680,0x7E8,8,036E123400000000,6E1234
21,214267500,0x7E0,8,062E123413800300,2E1234138003
22,214271581,0x7E8,8,036E123400000000,6E1234
23,214283102,0x7E0,8,042E12349B000000,2E12349B
24,214287189,0x7E8,8,036E123400000000,6E1234
25,214298677,0x7E0,8,052E1234282D0000,2E1234282D
26,214302759,0x7E8,8,036E123400000000,6E1234
27,214313217,0x7E0,8,062E123491445800,2E1234914458
28,214317299,0x7E8,8,036E123400000000,6E1234
29,214327721,0x7E0,8,072E12349D4D3CD1,2E12349D4D3CD1
30,214331796,0x7E8,8,036E123400000000,6E1234
31,214342408,0x7E0,8,062E12340A8F6800,2E12340A8F68
32,214346488,0x7E8,8,036E123400000000,6E1234
33,214358861,0x7E0,8,072EF187CC6DD733,2EF187CC6DD733
34,214362936,0x7E8,8,037F2E3100000000,7F2E31
35,214373599,0x7E0,8,072E1234CCD62A9A,2E1234CCD62A9A
36,214377671,0x7E8,8,036E123400000000,6E1234
37,214388424,0x7E0,8,042E123422000000,2E123422
38,214392509,0x7E8,8,036E123400000000,6E1234
39,214402885,0x7E0,8,072E1234E6743AE5,2E1234E6743AE5
40,214406960,0x7E8,8,036E123400000000,6E1234
41,214417606,0x7E0,8,052E12344EBC0000,2E12344EBC
42,214421687,0x7E8,8,036E123400000000,6E1234
43,214432316,0x7E0,8,072E1234C7772B85,2E1234C7772B85
44,214436388,0x7E8,8,036E123400000000,6E1234
45,214447097,0x7E0,8,052E1234983A0000,2E1234983A
46,214451179,0x7E8,8,036E123400000000,6E1234
47,214462885,0x7E0,8,042E123436000000,2E123436
48,214466972,0x7E8,8,036E123400000000,6E1234
49,214478074,0x7E0,8,062E2222A479EC00,2E2222A479EC
50,214482153,0x7E8,8,037F2E3100000000,7F2E31
51,214492748,0x7E0,8,072E1234D12259BA,2E1234D12259BA
52,214496823,0x7E8,8,036E123400000000,6E1234
53,214507317,0x7E0,8,052E333370960000,2E33337096
54,214511397,0x7E8,8,037F2E3100000000,7F2E31
55,214522423,0x7E0,8,072E12341C67C18C,2E12341C67C18C
56,214526496,0x7E8,8,036E123400000000,6E1234
57,214537567,0x7E0,8,062E10019EA9FE00,2E10019EA9FE
58,214541648,0x7E8,8,037F2E3100000000,7F2E31
59,214552195,0x7E0,8,032E123400000000,2E1234
60,214556289,0x7E8,8,037F2E1300000000,7F2E13
61,214566902,0x7E0,8,052E1234810E0000,2E1234810E
62,214570989,0x7E8,8,036E123400000000,6E1234
63,214581478,0x7E0,8,052E1234C2270000,2E1234C227
64,214585558,0x7E8,8,036E123400000000,6E1234
65,214596261,0x7E0,8,052E1234ED520000,2E1234ED52
66,214600344,0x7E8,8,036E123400000000,6E1234
67,214610827,0x7E0,8,072E1234427CA6A2,2E1234427CA6A2
68,214614902,0x7E8,8,036E123400000000,6E1234
69,214625430,0x7E0,8,042E1234E4000000,2E1234E4
70,214629514,0x7E8,8,036E123400000000,6E1234
71,214640021,0x7E0,8,042EF1870C000000,2EF1870C
72,214644112,0x7E8,8,037F2E3100000000,7F2E31
73,214654600,0x7E0,8,062E1234DB9A2D00,2E1234DB9A2D
74,214658677,0x7E8,8,036E123400000000,6E1234
75,214669174,0x7E0,8,042E1234C0000000,2E1234C0
76,214673261,0x7E8,8,036E123400000000,6E1234
