trial,source,event,elapsed_ms,payload_hex,response_class,attack_pass,observer_consistent
1,can0,request_send,0.000000,2E123451BFC797,positive,true,true
1,can0,response_recv,2.969933,6E1234,positive,true,true
1,nucleo,request_seen,0.000000,2E123451BFC797,positive,true,true
1,nucleo,response_seen,4.073000,6E1234,positive,true,true
2,can0,request_send,15.334365,2E1234A6884D,positive,true,true
2,can0,response_recv,17.574875,6E1234,positive,true,true
2,nucleo,request_seen,15.352000,2E1234A6884D,positive,true,true
2,nucleo,response_seen,19.431000,6E1234,positive,true,true
3,can0,request_send,30.040996,2E12343D47,positive,true,true
3,can0,response_recv,32.194134,6E1234,positive,true,true
3,nucleo,request_seen,30.026000,2E12343D47,positive,true,true
3,nucleo,response_seen,34.107000,6E1234,positive,true,true
4,can0,request_send,44.652503,2E1234DB0F,positive,true,true
4,can0,response_recv,46.926118,6E1234,positive,true,true
4,nucleo,request_seen,44.635000,2E1234DB0F,positive,true,true
4,nucleo,response_seen,48.723000,6E1234,positive,true,true
5,can0,request_send,59.278746,2EF187AA,negative,false,true
5,can0,response_recv,61.569123,7F2E31,negative,false,true
5,nucleo,request_seen,59.250000,2EF187AA,negative,false,true
5,nucleo,response_seen,63.335000,7F2E31,negative,false,true
6,can0,request_send,73.889555,2E1234DCD2,positive,true,true
6,can0,response_recv,76.125525,6E1234,positive,true,true
6,nucleo,request_seen,73.838000,2E1234DCD2,positive,true,true
6,nucleo,response_seen,77.920000,6E1234,positive,true,true
7,can0,request_send,88.356770,2E1001646EAA,negative,false,true
7,can0,response_recv,90.803172,7F2E31,negative,false,true
7,nucleo,request_seen,88.277000,2E1001646EAA,negative,false,true
7,nucleo,response_seen,92.358000,7F2E31,negative,false,true
8,can0,request_send,103.064798,2E1234A418,positive,true,true
8,can0,response_recv,105.438844,6E1234,positive,true,true
8,nucleo,request_seen,103.015000,2E1234A418,positive,true,true
8,nucleo,response_seen,107.095000,6E1234,positive,true,true
9,can0,request_send,117.809213,2E12349B,positive,true,true
9,can0,response_recv,120.069279,6E1234,positive,true,true
9,nucleo,request_seen,117.792000,2E12349B,positive,true,true
9,nucleo,response_seen,121.879000,6E1234,positive,true,true
10,can0,request_send,132.369247,2E123474F27A,positive,true,true
10,can0,response_recv,134.817465,6E1234,positive,true,true
10,nucleo,request_seen,132.271000,2E123474F27A,positive,true,true
10,nucleo,response_seen,136.348000,6E1234,positive,true,true
11,can0,request_send,147.268221,2E1234138003,positive,true,true
11,can0,response_recv,150.407589,6E1234,positive,true,true
11,nucleo,request_seen,147.168000,2E1234138003,positive,true,true
11,nucleo,response_seen,151.249000,6E1234,positive,true,true
12,can0,request_send,162.875526,2E12349B,positive,true,true
12,can0,response_recv,166.086551,6E1234,positive,true,true
12,nucleo,request_seen,162.770000,2E12349B,positive,true,true
12,nucleo,response_seen,166.857000,6E1234,positive,true,true
13,can0,request_send,178.441275,2E1234282D,positive,true,true
13,can0,response_recv,180.721735,6E1234,positive,true,true
13,nucleo,request_seen,178.345000,2E1234282D,positive,true,true
13,nucleo,response_seen,182.427000,6E1234,positive,true,true
14,can0,request_send,193.019608,2E1234914458,positive,true,true
14,can0,response_recv,195.324861,6E1234,positive,true,true
14,nucleo,request_seen,192.885000,2E1234914458,positive,true,true
14,nucleo,response_seen,196.967000,6E1234,positive,true,true
15,can0,request_send,207.566511,2E12349D4D3CD1,positive,true,true
15,can0,response_recv,209.970381,6E1234,positive,true,true
15,nucleo,request_seen,207.389000,2E12349D4D3CD1,positive,true,true
15,nucleo,response_seen,211.464000,6E1234,positive,true,true
16,can0,request_send,222.241365,2E12340A8F68,positive,true,true
16,can0,response_recv,226.108480,6E1234,positive,true,true
16,nucleo,request_seen,222.076000,2E12340A8F68,positive,true,true
16,nucleo,response_seen,226.156000,6E1234,positive,true,true
17,can0,request_send,238.713375,2EF187CC6DD733,negative,false,true
17,can0,response_recv,241.193162,7F2E31,negative,false,true
17,nucleo,request_seen,238.529000,2EF187CC6DD733,negative,false,true
17,nucleo,response_seen,242.604000,7F2E31,negative,false,true
18,can0,request_send,253.446057,2E1234CCD62A9A,positive,true,true
18,can0,response_recv,255.885126,6E1234,positive,true,true
18,nucleo,request_seen,253.267000,2E1234CCD62A9A,positive,true,true
18,nucleo,response_seen,257.339000,6E1234,positive,true,true
19,can0,request_send,268.269952,2E123422,positive,true,true
19,can0,response_recv,270.489370,6E1234,positive,true,true
19,nucleo,request_seen,268.092000,2E123422,positive,true,true
19,nucleo,response_seen,272.177000,6E1234,positive,true,true
20,can0,request_send,282.764893,2E1234E6743AE5,positive,true,true
20,can0,response_recv,285.131677,6E1234,positive,true,true
20,nucleo,request_seen,282.553000,2E1234E6743AE5,positive,true,true
20,nucleo,response_seen,286.628000,6E1234,positive,true,true
21,can0,request_send,297.474597,2E12344EBC,positive,true,true
21,can0,response_recv,299.745000,6E1234,positive,true,true
21,nucleo,request_seen,297.274000,2E12344EBC,positive,true,true
21,nucleo,response_seen,301.355000,6E1234,positive,true,true
22,can0,request_send,312.215102,2E1234C7772B85,positive,true,true
22,can0,response_recv,314.485015,6E1234,positive,true,true
22,nucleo,request_seen,311.984000,2E1234C7772B85,positive,true,true
22,nucleo,response_seen,316.056000,6E1234,positive,true,true
23,can0,request_send,326.991155,2E1234983A,positive,true,true
23,can0,response_recv,330.290250,6E1234,positive,true,true
23,nucleo,request_seen,326.765000,2E1234983A,positive,true,true
23,nucleo,response_seen,330.847000,6E1234,positive,true,true
