trial,mutation_kind,did_hex,data_hex,request_payload,request_can_data_hex,response_payload,response_class,response_sid,nrc,attack_pass,send_wall_iso,send_monotonic_ns,recv_monotonic_ns,latency_ms,observer_request_seen,observer_response_seen,observer_request_timestamp_us,observer_response_timestamp_us,observer_latency_ms,observer_consistent,consistency_note
1,target_did_random_data,0x1234,51BFC797,2E123451BFC797,072E123451BFC797,6E1234,positive,0x6E,,true,2026-06-20T19:29:16.073380+02:00,33770118648965,33770121626511,2.977546,true,true,201096632,201100705,4.073000,true,matched_request_response
2,target_did_random_data,0x1234,A6884D,2E1234A6884D,062E1234A6884D00,6E1234,positive,0x6E,,true,2026-06-20T19:29:16.096674+02:00,33770141929249,33770144556540,2.627291,true,true,201119777,201123856,4.079000,true,matched_request_response
3,target_did_random_data,0x1234,3D47,2E12343D47,052E12343D470000,6E1234,positive,0x6E,,true,2026-06-20T19:29:16.119899+02:00,33770165156384,33770167524634,2.368250,true,true,201143023,201147105,4.082000,true,matched_request_response
4,target_did_random_data,0x1234,DB0F,2E1234DB0F,052E1234DB0F0000,6E1234,positive,0x6E,,true,2026-06-20T19:29:16.142514+02:00,33770187769962,33770190038339,2.268377,true,true,201165592,201169677,4.085000,true,matched_request_response
5,unknown_did,0xF187,AA,2EF187AA,042EF187AA000000,7F2E31,negative,0x7F,0x31,false,2026-06-20T19:29:16.165204+02:00,33770210460925,33770213498604,3.037679,true,true,201188293,201192378,4.085000,true,matched_request_response
6,target_did_random_data,0x1234,DCD2,2E1234DCD2,052E1234DCD20000,6E1234,positive,0x6E,,true,2026-06-20T19:29:16.188520+02:00,33770233777038,33770236932540,3.155502,true,true,201211588,201215668,4.080000,true,matched_request_response
7,read_only_did,0x1001,646EAA,2E1001646EAA,062E1001646EAA00,7F2E31,negative,0x7F,0x31,false,2026-06-20T19:29:16.211990+02:00,33770257245125,33770260385402,3.140277,true,true,201235016,201239099,4.083000,true,matched_request_response
8,target_did_random_data,0x1234,A418,2E1234A418,052E1234A4180000,6E1234,positive,0x6E,,true,2026-06-20T19:29:16.235648+02:00,33770280904927,33770283792657,2.887730,true,true,201258692,201262774,4.082000,true,matched_request_response
9,target_did_random_data,0x1234,9B,2E12349B,042E12349B000000,6E1234,positive,0x6E,,true,2026-06-20T19:29:16.258847+02:00,33770304105453,33770307258230,3.152777,true,true,201281891,201285978,4.087000,true,matched_request_response
10,target_did_random_data,0x1234,74F27A,2E123474F27A,062E123474F27A00,6E1234,positive,0x6E,,true,2026-06-20T19:29:16.282311+02:00,33770327567394,33770330639575,3.072181,true,true,201305300,201309377,4.077000,true,matched_request_response
