source_line,timestamp_us,can_id_hex,dlc,data_hex,uds_payload_hex
1,201096632,0x7E0,8,072E123451BFC797,2E123451BFC797
2,201100705,0x7E8,8,036E123400000000,6E1234
3,201119777,0x7E0,8,062E1234A6884D00,2E1234A6884D
4,201123856,0x7E8,8,036E123400000000,6E1234
5,201143023,0x7E0,8,052E12343D470000,2E12343D47
6,201147105,0x7E8,8,036E123400000000,6E1234
7,201165592,0x7E0,8,052E1234DB0F0000,2E1234DB0F
8,201169677,0x7E8,8,036E123400000000,6E1234
9,201188293,0x7E0,8,042EF187AA000000,2EF187AA
10,201192378,0x7E8,8,037F2E3100000000,7F2E31
11,201211588,0x7E0,8,052E1234DCD20000,2E1234DCD2
12,201215668,0x7E8,8,036E123400000000,6E1234
13,201235016,0x7E0,8,062E1001646EAA00,2E1001646EAA
14,201239099,0x7E8,8,037F2E3100000000,7F2E31
15,201258692,0x7E0,8,052E1234A4180000,2E1234A418
16,201262774,0x7E8,8,036E123400000000,6E1234
17,201281891,0x7E0,8,042E12349B000000,2E12349B
18,201285978,0x7E8,8,036E123400000000,6E1234
19,201305300,0x7E0,8,062E123474F27A00,2E123474F27A
20,201309377,0x7E8,8,036E123400000000,6E1234
