source_line,timestamp_us,elapsed_ms,can_id_hex,dlc,data_hex,direction,uds_payload_hex
1,230944580,0.000,0x7E0,8,0210010000000000,request,1001
2,230948679,4.099,0x7E8,8,0650010032138800,response,500100321388
3,231451695,507.115,0x7E0,8,0210010000000000,request,1001
4,231455794,511.214,0x7E8,8,0650010032138800,response,500100321388
5,231959611,1015.031,0x7E0,8,0210010000000000,request,1001
6,231963710,1019.130,0x7E8,8,0650010032138800,response,500100321388
7,232467578,1522.998,0x7E0,8,0210010000000000,request,1001
8,232471677,1527.097,0x7E8,8,0650010032138800,response,500100321388
9,232974389,2029.809,0x7E0,8,0210010000000000,request,1001
10,232978486,2033.906,0x7E8,8,0650010032138800,response,500100321388
