source_line,timestamp_us,elapsed_ms,can_id_hex,dlc,data_hex,direction,uds_payload_hex
1,33014202,0.000,0x7E0,8,0210010000000000,request,1001
2,33018305,4.103,0x7E8,8,0650010032138800,response,500100321388
3,33520785,506.583,0x7E0,8,0210010000000000,request,1001
4,33524885,510.683,0x7E8,8,0650010032138800,response,500100321388
5,34027461,1013.259,0x7E0,8,0210010000000000,request,1001
6,34031564,1017.362,0x7E8,8,0650010032138800,response,500100321388
7,34535262,1521.060,0x7E0,8,0210010000000000,request,1001
8,34539365,1525.163,0x7E8,8,0650010032138800,response,500100321388
9,35041526,2027.324,0x7E0,8,0210010000000000,request,1001
10,35045629,2031.427,0x7E8,8,0650010032138800,response,500100321388
