phase,event,request_payload,response_payload,expected,passed,latency_ms,wall_iso,note
before_hotpatch,enter_extended_session,1003,500300321388,500300321388,true,2.227941,2026-06-24T10:41:44.789123+02:00,matched 500300321388
before_hotpatch,request_security_seed,2701,67011201,6701xxxx,true,2.187642,2026-06-24T10:41:44.812574+02:00,seed=0x1201
before_hotpatch,send_key_from_weak_transform,2702B75B,6702,6702,true,2.168785,2026-06-24T10:41:44.836052+02:00,matched 6702
before_hotpatch,write_did_after_security_access,2E1234CAFE,6E1234,6E1234,true,3.137485,2026-06-24T10:41:44.860501+02:00,matched 6E1234
before_hotpatch,benign_read_status_did,221001,6210014210,6210014210,true,3.237707,2026-06-24T10:41:44.885044+02:00,matched 6210014210
during_received_pending,kintsugi_receive_hotpatch,2EF19002,6EF190,6EF190,true,2.854627,2026-06-24T10:41:44.909252+02:00,matched 6EF190
during_received_pending,enter_extended_session,1003,500300321388,500300321388,true,3.398343,2026-06-24T10:41:44.933984+02:00,matched 500300321388
during_received_pending,request_security_seed,2701,67011202,6701xxxx,true,2.603338,2026-06-24T10:41:44.958153+02:00,seed=0x1202
during_received_pending,send_key_from_weak_transform,2702B758,6702,6702,true,3.072323,2026-06-24T10:41:44.982619+02:00,matched 6702
during_received_pending,write_did_after_security_access,2E1234CAFE,6E1234,6E1234,true,2.995917,2026-06-24T10:41:45.007013+02:00,matched 6E1234
during_received_pending,benign_read_status_did,221001,6210014210,6210014210,true,3.020082,2026-06-24T10:41:45.031375+02:00,matched 6210014210
during_scheduled_pending,kintsugi_schedule_hotpatch,2EF19003,6EF190,6EF190,true,3.031815,2026-06-24T10:41:45.055761+02:00,matched 6EF190
during_scheduled_pending,enter_extended_session,1003,500300321388,500300321388,true,3.142863,2026-06-24T10:41:45.080288+02:00,matched 500300321388
during_scheduled_pending,request_security_seed,2701,67011203,6701xxxx,true,2.959599,2026-06-24T10:41:45.104818+02:00,seed=0x1203
during_scheduled_pending,send_key_from_weak_transform,2702B759,6702,6702,true,2.920837,2026-06-24T10:41:45.129112+02:00,matched 6702
during_scheduled_pending,write_did_after_security_access,2E1234CAFE,6E1234,6E1234,true,2.960646,2026-06-24T10:41:45.153459+02:00,matched 6E1234
during_scheduled_pending,benign_read_status_did,221001,6210014210,6210014210,true,3.289529,2026-06-24T10:41:45.178153+02:00,matched 6210014210
after_apply,kintsugi_apply_scheduled_hotpatch,2EF19004,6EF190,6EF190,true,2.652506,2026-06-24T10:41:45.202217+02:00,matched 6EF190
after_apply,enter_extended_session,1003,500300321388,500300321388,true,3.187771,2026-06-24T10:41:45.226824+02:00,matched 500300321388
after_apply,request_security_seed,2701,67011204,6701xxxx,true,2.964977,2026-06-24T10:41:45.251173+02:00,seed=0x1204
after_apply,send_key_from_weak_transform,2702B75E,6702,6702,true,3.030488,2026-06-24T10:41:45.275621+02:00,matched 6702
after_apply,write_did_after_security_access,2E1234CAFE,7F2E31,7F2E31,true,2.947446,2026-06-24T10:41:45.299990+02:00,matched 7F2E31
after_apply,benign_read_status_did,221001,6210014210,6210014210,true,3.063523,2026-06-24T10:41:45.324428+02:00,matched 6210014210
