scenario_id,scenario_label,step_index,step,request_payload,response_payload,response_class,outcome,elapsed_start_ms,elapsed_end_ms,latency_ms,source
before_hotpatch_attack_succeeds,Before hotpatch: attack succeeds,1,reset_default_session,1001,500100321388,positive,positive,0.000000,2.699158,2.699158,can0_request_timeline_latest.csv
before_hotpatch_attack_succeeds,Before hotpatch: attack succeeds,2,enter_extended_session,1003,500300321388,positive,positive,22.847471,25.253854,2.406383,can0_request_timeline_latest.csv
before_hotpatch_attack_succeeds,Before hotpatch: attack succeeds,3,request_security_seed,2701,67011201,positive,positive,45.469565,47.930493,2.460928,can0_request_timeline_latest.csv
before_hotpatch_attack_succeeds,Before hotpatch: attack succeeds,4,send_key_from_weak_transform,2702B75B,6702,positive,positive,68.499391,71.481127,2.981736,can0_request_timeline_latest.csv
before_hotpatch_attack_succeeds,Before hotpatch: attack succeeds,5,write_did_after_security_access,2E1234CAFE,6E1234,positive,positive,91.749428,94.579747,2.830319,can0_request_timeline_latest.csv
before_hotpatch_attack_succeeds,Before hotpatch: attack succeeds,6,read_back_did_0x1234,221234,621234CAFE,positive,positive,114.856569,118.047409,3.190840,can0_request_timeline_latest.csv
after_kintsugi_hotpatch_blocks,After Kintsugi hotpatch: attack blocked,1,trigger_kintsugi_hotpatch,2EF19001,6EF190,positive,positive,0.000000,2.387037,2.387037,can0_request_timeline_kintsugi_after_latest.csv
after_kintsugi_hotpatch_blocks,After Kintsugi hotpatch: attack blocked,2,reset_default_session,1001,500100321388,positive,positive,22.919827,26.193709,3.273882,can0_request_timeline_kintsugi_after_latest.csv
after_kintsugi_hotpatch_blocks,After Kintsugi hotpatch: attack blocked,3,enter_extended_session,1003,500300321388,positive,positive,46.512505,49.396602,2.884097,can0_request_timeline_kintsugi_after_latest.csv
after_kintsugi_hotpatch_blocks,After Kintsugi hotpatch: attack blocked,4,request_security_seed,2701,67011202,positive,positive,69.594084,73.089991,3.495907,can0_request_timeline_kintsugi_after_latest.csv
after_kintsugi_hotpatch_blocks,After Kintsugi hotpatch: attack blocked,5,send_key_from_weak_transform,2702B758,6702,positive,positive,93.765816,96.245533,2.479717,can0_request_timeline_kintsugi_after_latest.csv
after_kintsugi_hotpatch_blocks,After Kintsugi hotpatch: attack blocked,6,write_did_after_security_access,2E1234CAFE,7F2E31,negative,0x31,116.584024,119.666541,3.082517,can0_request_timeline_kintsugi_after_latest.csv
after_kintsugi_hotpatch_blocks,After Kintsugi hotpatch: attack blocked,7,read_back_did_0x1234,221234,621234CAFE,positive,positive,139.942175,143.187422,3.245247,can0_request_timeline_kintsugi_after_latest.csv
