vehicle_id,hotpatch_capable,ota_only_protected_min,hotpatch_first_protected_min,exposure_reduction_min,ota_only_ota_finished_min,hotpatch_first_ota_finished_min
vehicle-0000,true,1442,746,696,1442,1442
vehicle-0001,true,1454,1050,404,1454,1454
vehicle-0002,true,1402,486,916,1402,1402
vehicle-0003,true,1355,965,390,1355,1355
vehicle-0004,true,1442,673,769,1442,1442
vehicle-0005,true,1432,448,984,1432,1432
vehicle-0006,true,1425,822,603,1425,1425
vehicle-0007,true,1340,919,421,1340,1340
vehicle-0008,true,1319,421,898,1319,1319
vehicle-0009,true,1358,444,914,1358,1358
vehicle-0010,true,1331,486,845,1331,1331
vehicle-0011,true,1428,425,1003,1428,1428
vehicle-0012,true,1354,789,565,1354,1354
vehicle-0013,true,1359,478,881,1359,1359
vehicle-0014,true,1339,710,629,1339,1339
vehicle-0015,true,1429,1150,279,1429,1429
vehicle-0016,true,1424,801,623,1424,1424
vehicle-0017,true,1385,838,547,1385,1385
vehicle-0018,true,1445,443,1002,1445,1445
vehicle-0019,true,1322,398,924,1322,1322
vehicle-0020,true,1332,466,866,1332,1332
vehicle-0021,true,1401,450,951,1401,1401
vehicle-0022,true,1448,776,672,1448,1448
vehicle-0023,true,1359,1189,170,1359,1359
vehicle-0024,true,1320,482,838,1320,1320
vehicle-0025,true,1397,543,854,1397,1397
vehicle-0026,true,1401,422,979,1401,1401
vehicle-0027,true,1345,474,871,1345,1345
vehicle-0028,true,1431,480,951,1431,1431
vehicle-0029,true,1318,1186,132,1318,1318
vehicle-0030,true,1327,762,565,1327,1327
vehicle-0031,true,1363,512,851,1363,1363
vehicle-0032,true,1365,855,510,1365,1365
vehicle-0033,true,1428,447,981,1428,1428
vehicle-0034,true,2770,370,2400,2770,2770
vehicle-0035,true,2846,542,2304,2846,2846
vehicle-0036,true,1372,1084,288,1372,1372
vehicle-0037,true,1390,710,680,1390,1390
vehicle-0038,true,2857,471,2386,2857,2857
vehicle-0039,true,1452,442,1010,1452,1452
vehicle-0040,true,2822,821,2001,2822,2822
vehicle-0041,true,1404,605,799,1404,1404
vehicle-0042,true,2833,693,2140,2833,2833
vehicle-0043,true,1412,1002,410,1412,1412
vehicle-0044,true,1422,687,735,1422,1422
vehicle-0045,true,2820,702,2118,2820,2820
vehicle-0046,true,2893,706,2187,2893,2893
vehicle-0047,true,2749,637,2112,2749,2749
vehicle-0048,true,1430,431,999,1430,1430
vehicle-0049,true,2778,863,1915,2778,2778
vehicle-0050,true,1435,400,1035,1435,1435
vehicle-0051,true,2893,756,2137,2893,2893
vehicle-0052,true,2749,888,1861,2749,2749
vehicle-0053,true,2777,824,1953,2777,2777
vehicle-0054,true,1442,944,498,1442,1442
vehicle-0055,true,2749,805,1944,2749,2749
vehicle-0056,true,2796,756,2040,2796,2796
vehicle-0057,true,2825,509,2316,2825,2825
vehicle-0058,true,1446,1040,406,1446,1446
vehicle-0059,true,1449,433,1016,1449,1449
vehicle-0060,true,1457,677,780,1457,1457
vehicle-0061,true,2890,448,2442,2890,2890
vehicle-0062,true,1467,465,1002,1467,1467
vehicle-0063,true,2769,789,1980,2769,2769
vehicle-0064,true,2785,697,2088,2785,2785
vehicle-0065,true,2825,725,2100,2825,2825
vehicle-0066,true,1473,1098,375,1473,1473
vehicle-0067,true,2844,421,2423,2844,2844
vehicle-0068,true,1475,507,968,1475,1475
vehicle-0069,true,1480,972,508,1480,1480
vehicle-0070,true,2869,456,2413,2869,2869
vehicle-0071,true,2830,917,1913,2830,2830
vehicle-0072,true,2798,775,2023,2798,2798
vehicle-0073,true,2753,909,1844,2753,2753
vehicle-0074,true,2859,390,2469,2859,2859
vehicle-0075,true,2781,718,2063,2781,2781
vehicle-0076,true,2885,492,2393,2885,2885
vehicle-0077,true,2765,966,1799,2765,2765
vehicle-0078,true,2842,1004,1838,2842,2842
vehicle-0079,true,2814,502,2312,2814,2814
vehicle-0080,true,2854,553,2301,2854,2854
vehicle-0081,true,2857,1056,1801,2857,2857
vehicle-0082,true,2856,850,2006,2856,2856
vehicle-0083,true,1494,533,961,1494,1494
vehicle-0084,true,2826,750,2076,2826,2826
vehicle-0085,true,2749,470,2279,2749,2749
vehicle-0086,true,2765,511,2254,2765,2765
vehicle-0087,true,2817,1122,1695,2817,2817
vehicle-0088,true,2880,449,2431,2880,2880
vehicle-0089,true,2775,449,2326,2775,2775
vehicle-0090,true,2745,519,2226,2745,2745
vehicle-0091,true,2875,1012,1863,2875,2875
vehicle-0092,true,2844,508,2336,2844,2844
vehicle-0093,true,2861,710,2151,2861,2861
