source_line,timestamp_us,can_id_hex,dlc,data_hex,uds_payload_hex
1,215868050,0x7E0,8,042E1234F3000000,2E1234F3
2,215872136,0x7E8,8,036E123400000000,6E1234
3,215891682,0x7E0,8,052E1234BFD10000,2E1234BFD1
4,215895765,0x7E8,8,036E123400000000,6E1234
5,215916010,0x7E0,8,042E12341B000000,2E12341B
6,215920096,0x7E8,8,036E123400000000,6E1234
7,215939627,0x7E0,8,042E123498000000,2E123498
8,215943714,0x7E8,8,036E123400000000,6E1234
9,215963925,0x7E0,8,042E123421000000,2E123421
10,215968012,0x7E8,8,036E123400000000,6E1234
11,215988529,0x7E0,8,062E12343E025800,2E12343E0258
12,215992612,0x7E8,8,036E123400000000,6E1234
13,216012767,0x7E0,8,042E12341C000000,2E12341C
14,216016854,0x7E8,8,036E123400000000,6E1234
15,216037036,0x7E0,8,062E1234AC8D5F00,2E1234AC8D5F
16,216041115,0x7E8,8,036E123400000000,6E1234
17,216061475,0x7E0,8,072E12343C6703C2,2E12343C6703C2
18,216065552,0x7E8,8,036E123400000000,6E1234
19,216085819,0x7E0,8,052E222285830000,2E22228583
20,216089902,0x7E8,8,037F2E3100000000,7F2E31
21,216110346,0x7E0,8,042E12343F000000,2E12343F
22,216114430,0x7E8,8,036E123400000000,6E1234
23,216134656,0x7E0,8,052E1234CE840000,2E1234CE84
24,216138739,0x7E8,8,036E123400000000,6E1234
25,216158932,0x7E0,8,062E1001699EFE00,2E1001699EFE
26,216163016,0x7E8,8,037F2E3100000000,7F2E31
27,216183359,0x7E0,8,052E1001C7960000,2E1001C796
28,216187444,0x7E8,8,037F2E3100000000,7F2E31
29,216207759,0x7E0,8,072E12349B0C6ECA,2E12349B0C6ECA
30,216211838,0x7E8,8,036E123400000000,6E1234
31,216232192,0x7E0,8,042E12347F000000,2E12347F
32,216236277,0x7E8,8,036E123400000000,6E1234
33,216256525,0x7E0,8,052E1234C8380000,2E1234C838
34,216260608,0x7E8,8,036E123400000000,6E1234
35,216280998,0x7E0,8,062EF1871F60D900,2EF1871F60D9
36,216285077,0x7E8,8,037F2E3100000000,7F2E31
37,216305234,0x7E0,8,052E12349A4F0000,2E12349A4F
38,216309315,0x7E8,8,036E123400000000,6E1234
39,216329636,0x7E0,8,052E3333ABD50000,2E3333ABD5
40,216333719,0x7E8,8,037F2E3100000000,7F2E31
41,216354075,0x7E0,8,042E12340C000000,2E12340C
42,216358167,0x7E8,8,036E123400000000,6E1234
43,216378468,0x7E0,8,042E123457000000,2E123457
44,216382553,0x7E8,8,036E123400000000,6E1234
45,216402864,0x7E0,8,032E123400000000,2E1234
46,216406955,0x7E8,8,037F2E1300000000,7F2E13
