trial,step,before_latency_ms,after_latency_ms,delta_after_minus_before_ms
21,enter_extended_session,2.941182,3.027437,0.086255
21,read_target_after,3.285853,2.843265,-0.442588
21,read_target_before,3.039520,3.081774,0.042254
21,request_security_seed,3.145679,3.070670,-0.075009
21,send_security_key,3.050694,3.083520,0.032826
21,session_reset,3.051393,2.949634,-0.101759
21,write_target,2.269862,3.254842,0.984980
22,enter_extended_session,3.082333,3.054676,-0.027657
22,read_target_after,3.059914,3.103845,0.043931
22,read_target_before,2.862471,3.029742,0.167271
22,request_security_seed,3.092041,3.097839,0.005798
22,send_security_key,3.070879,3.020104,-0.050775
22,session_reset,2.682558,2.908288,0.225730
22,write_target,3.135203,3.054955,-0.080248
23,enter_extended_session,3.066549,3.010605,-0.055944
23,read_target_after,3.010396,3.065432,0.055036
23,read_target_before,3.063894,3.014028,-0.049866
23,request_security_seed,3.063964,3.083870,0.019906
23,send_security_key,3.045038,3.075558,0.030520
23,session_reset,2.940205,2.960460,0.020255
23,write_target,3.061171,3.162791,0.101620
24,enter_extended_session,3.148893,3.065641,-0.083252
24,read_target_after,3.197083,3.032955,-0.164128
24,read_target_before,2.784108,2.999500,0.215392
24,request_security_seed,3.059774,3.028066,-0.031708
24,send_security_key,3.264690,3.094975,-0.169715
24,session_reset,2.855696,2.914713,0.059017
24,write_target,3.106708,3.092041,-0.014667
25,enter_extended_session,3.108733,3.062498,-0.046235
25,read_target_after,3.095184,3.117603,0.022419
25,read_target_before,3.036726,3.024225,-0.012501
25,request_security_seed,3.053349,3.051183,-0.002166
25,send_security_key,3.086035,3.122562,0.036527
25,session_reset,2.782013,2.957805,0.175792
25,write_target,3.069761,3.065850,-0.003911
26,enter_extended_session,3.088968,3.082334,-0.006634
26,read_target_after,3.084079,3.108943,0.024864
26,read_target_before,3.112086,2.955012,-0.157074
26,request_security_seed,3.102657,3.047971,-0.054686
26,send_security_key,3.164746,3.031348,-0.133398
26,session_reset,2.942789,2.891874,-0.050915
26,write_target,3.102657,3.088898,-0.013759
27,enter_extended_session,3.049856,3.079051,0.029195
27,read_target_after,3.032955,3.015634,-0.017321
27,read_target_before,3.054117,2.976732,-0.077385
27,request_security_seed,3.103216,3.117464,0.014248
27,send_security_key,2.830623,3.042174,0.211551
27,session_reset,3.043221,2.815327,-0.227894
27,write_target,3.185978,3.109083,-0.076895
28,enter_extended_session,3.104124,3.092320,-0.011804
28,read_target_after,2.396764,3.031558,0.634794
28,read_target_before,3.061380,3.102727,0.041347
28,request_security_seed,3.055584,3.128079,0.072495
28,send_security_key,3.066479,3.003761,-0.062718
28,session_reset,2.964790,3.058378,0.093588
28,write_target,3.164677,3.102936,-0.061741
29,enter_extended_session,2.897182,3.066060,0.168878
29,read_target_after,3.049088,2.976243,-0.072845
29,read_target_before,3.102797,3.252468,0.149671
29,request_security_seed,3.054327,3.072625,0.018298
29,send_security_key,2.824337,3.069133,0.244796
29,session_reset,3.198969,2.947609,-0.251360
29,write_target,3.094276,2.879233,-0.215043
30,enter_extended_session,3.245694,3.049577,-0.196117
30,read_target_after,3.035819,3.184862,0.149043
30,read_target_before,3.094486,3.073603,-0.020883
30,request_security_seed,2.806527,3.084289,0.277762
30,send_security_key,3.050415,2.978060,-0.072355
30,session_reset,2.931335,2.772375,-0.158960
30,write_target,3.081984,3.064663,-0.017321
31,enter_extended_session,3.111527,3.128079,0.016552
31,read_target_after,3.095184,3.051602,-0.043582
31,read_target_before,3.097349,3.259802,0.162453
31,request_security_seed,3.352133,3.088269,-0.263864
31,send_security_key,2.793188,3.026809,0.233621
31,session_reset,2.999640,2.688285,-0.311355
31,write_target,3.054327,2.884680,-0.169647
32,enter_extended_session,2.981411,3.119000,0.137589
32,read_target_after,2.985393,3.021710,0.036317
32,read_target_before,3.050905,2.798565,-0.252340
32,request_security_seed,3.074580,2.978199,-0.096381
32,send_security_key,3.059635,3.047901,-0.011734
32,session_reset,2.889569,2.926446,0.036877
32,write_target,3.115298,3.106009,-0.009289
33,enter_extended_session,3.005297,3.025901,0.020604
33,read_target_after,3.118790,2.870083,-0.248707
33,read_target_before,3.018707,3.045875,0.027168
33,request_security_seed,3.074022,3.073603,-0.000419
33,send_security_key,3.027228,3.058447,0.031219
33,session_reset,2.786064,2.913316,0.127252
33,write_target,2.876579,3.017450,0.140871
34,enter_extended_session,3.088270,3.069482,-0.018788
34,read_target_after,3.029393,3.038683,0.009290
34,read_target_before,3.012561,3.080238,0.067677
34,request_security_seed,3.008231,3.028067,0.019836
34,send_security_key,3.020802,3.023736,0.002934
34,session_reset,2.911849,2.914154,0.002305
34,write_target,3.070320,3.124238,0.053918
35,enter_extended_session,3.036587,3.124308,0.087721
35,read_target_after,3.174594,3.030790,-0.143804
35,read_target_before,3.046853,3.036308,-0.010545
35,request_security_seed,3.133247,3.086035,-0.047212
35,send_security_key,2.975615,3.025761,0.050146
35,session_reset,2.911849,2.936713,0.024864
35,write_target,3.087152,3.094905,0.007753
36,enter_extended_session,3.031908,3.393479,0.361571
36,read_target_after,3.132410,3.006974,-0.125436
36,read_target_before,3.062917,3.045526,-0.017391
36,request_security_seed,3.068504,2.710426,-0.358078
36,send_security_key,3.072555,3.057470,-0.015085
36,session_reset,2.934128,2.964300,0.030172
36,write_target,3.052580,3.090644,0.038064
37,enter_extended_session,3.100771,2.969609,-0.131162
37,read_target_after,3.078422,3.006415,-0.072007
37,read_target_before,3.115159,3.043571,-0.071588
37,request_security_seed,3.103215,3.073673,-0.029542
37,send_security_key,3.003132,3.091273,0.088141
37,session_reset,2.870433,2.931195,0.060762
37,write_target,3.055584,3.063685,0.008101
38,enter_extended_session,3.076955,3.226137,0.149182
38,read_target_after,3.023665,3.089387,0.065722
38,read_target_before,2.963253,3.095533,0.132280
38,request_security_seed,3.132758,2.990421,-0.142337
38,send_security_key,2.845080,3.085336,0.240256
38,session_reset,2.886217,2.897601,0.011384
38,write_target,3.133247,3.084987,-0.048260
39,enter_extended_session,3.020104,3.121654,0.101550
39,read_target_after,3.003900,3.084917,0.081017
39,read_target_before,2.787880,3.040149,0.252269
39,request_security_seed,3.120886,3.049717,-0.071169
39,send_security_key,3.258684,3.025482,-0.233202
39,session_reset,3.017101,2.888522,-0.128579
39,write_target,3.096371,3.058098,-0.038273
40,enter_extended_session,3.063895,3.026180,-0.037715
