patch_state,step,count,median_ms,q1_ms,q3_ms,p95_ms,p99_ms,timeouts
after,enter_extended_session,500,3.070171,3.029102,3.107969,3.218502,3.333172,0
after,read_target_after,500,3.041113,2.997010,3.078113,3.185499,3.333945,0
after,read_target_before,500,3.048062,3.008763,3.086335,3.189509,3.313502,0
after,request_security_seed,500,3.058753,3.020829,3.091542,3.210494,3.364380,0
after,send_security_key,500,3.052243,3.008430,3.093043,3.209262,3.336213,0
after,session_reset,500,2.917567,2.870090,2.963241,3.065389,3.205183,0
after,write_target,500,3.076269,3.037184,3.116054,3.248195,3.389189,0
before,enter_extended_session,500,3.073358,3.032746,3.102204,3.198040,3.336383,0
before,read_target_after,500,3.050206,3.014639,3.090801,3.210584,3.322121,0
before,read_target_before,500,3.041685,3.006328,3.074127,3.162773,3.300870,0
before,request_security_seed,500,3.058098,3.025727,3.098274,3.201462,3.345441,0
before,send_security_key,500,3.058203,3.021483,3.091465,3.214547,3.305368,0
before,session_reset,500,2.932069,2.886374,2.979788,3.053596,3.172363,0
before,write_target,500,3.074965,3.035749,3.108156,3.220585,3.308264,0
